MEET,NAME,FX,PH,SR,VT,PB,HB,AA,TEAM,ROUND,FX_D,PH_D,SR_D,VT_D,PB_D,HB_D
usa_nc1,Brody Malone,14,14.1,14.4,14,14.55,14.9,85.95,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc1,Fred Richard,14.6,12.85,14,14.2,14.3,14.4,84.35,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc1,Donnell Whittenburg,13.9,13,14.35,14.45,14.4,13.4,83.5,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc1,Colt Walker,13.6,13.65,13.8,14.05,14.95,13.45,83.5,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc1,Khoi Young,14.15,12.6,13.2,14.8,14.9,13.75,83.4,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc1,Shane Wiskus,14.45,13.6,13.05,14.3,14.5,13.5,83.4,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc1,Paul Juda,14.75,13.9,13.95,13.55,14.15,12.45,82.75,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc1,Cameron Bock,13.5,14.1,13.9,13.95,13.45,13.85,82.75,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc1,Yul Moldauer,14.6,12.55,14,12.65,15.4,13.25,82.45,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc1,Asher Hong,13.9,11.75,14.5,14,14.75,13.35,82.25,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc1,Fuzzy Benas,14,13.75,13.2,13.95,13.65,13.05,81.6,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc1,Jeremy Bischoff,13.9,12.8,12.85,13.9,14.2,13.75,81.4,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc1,Riley Loos,13.55,12.5,13.9,14.05,13.35,13.3,80.65,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc1,Taylor Burkhart,13.5,13.5,13.85,12.75,14.3,12.75,80.65,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc1,Taylor Christopulos,13.9,12.6,13.1,14.25,13.6,12.8,80.25,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc1,Kiran Mandava,13.2,13.35,12.65,13.3,13.25,13.15,78.9,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc1,Joshua Karnes,13,13.15,12.85,10.75,14.6,13.6,77.95,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc1,Samuel Phillips,13.5,11.5,13.3,13.8,12.35,13.5,77.95,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc1,Caden Clinton,13.05,11.95,13.5,12.65,13.45,13.3,77.9,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc1,Landen Blixt,14,12.85,13.1,11.1,14.1,12.45,77.6,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc1,Dallas Hale,12.45,13.1,11.8,14.1,14.7,11.1,77.25,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc1,Kai Uemura,13.05,10.05,12.8,12.55,13.8,12.9,75.15,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc1,David Ramirez,12.1,11.6,11.65,13.35,13.2,11.95,73.85,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc1,Erich Upton,12.8,9.2002,11.2,14.1,13.7,12.6,73.6,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc1,Tate Costa,11.8,8.9002,11.3,13.55,11.35,10.6,67.5,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc1,Ian Gunther,12.55,0,13.5,13.5,13.65,13.35,66.55,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc1,Curran Phillips,13.25,NA,NA,13.5,15.5,13.1,NA,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc1,Noah Newfeld,13.25,13.15,13.55,NA,13.65,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc1,Javier Alfonso,12.9,NA,14.25,NA,13.45,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc1,Crew Bold,13.6,NA,NA,NA,13.15,13.35,NA,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc1,Stephen Nedoroscik,NA,15.4,NA,NA,NA,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc1,Patrick Hoopes,NA,14.95,NA,NA,NA,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc1,Alex Diab,NA,NA,14.8,NA,NA,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc1,Brandon Dang,NA,14.65,NA,NA,NA,NA,NA,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc2,Brody Malone,13.6,14,14.85,14.4,14.9,14.6,86.35,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc2,Fred Richard,14.9,13.3,14.3,14.4,14.6,14.4,85.9,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc2,Khoi Young,14.25,15,13.6,14.85,14.9,13.55,86.15,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc2,Yul Moldauer,14.7,13.7,14.1,14.55,15.4,13.3,85.75,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc2,Shane Wiskus,14.15,13.7,14.2,14.3,14.95,13.5,84.8,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc2,Paul Juda,13.7,14,13.95,14.7,14.05,14,84.4,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc2,Donnell Whittenburg,14.3,13.15,14.6,14.6,14.5,12.35,83.5,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc2,Cameron Bock,13.65,13.9,13.8,14.1,14.9,13.75,84.1,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc2,Colt Walker,14.1,13.85,13.8,13.8,14.85,12.9,83.3,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc2,Asher Hong,13.5,12.95,14.55,14.55,14.75,12.45,82.75,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc2,Fuzzy Benas,13.9,13.9,13.85,13.45,14.35,13.45,82.9,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc2,Jeremy Bischoff,14.15,13.3,13.5,13.7,14.35,13.5,82.5,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc2,Riley Loos,14.35,13.45,14.2,14,13.5,13.2,82.7,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc2,Taylor Burkhart,12.55,13.2,13.8,14.5,14.15,13.95,82.15,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc2,Landen Blixt,14.65,13.05,13,14.3,13.45,13.3,81.75,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc2,Taylor Christopulos,13.65,11.65,12.9,14.05,13.2,13.3,78.75,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc2,Joshua Karnes,12.95,12.55,13.6,13.65,14.45,12.3,79.5,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc2,Samuel Phillips,13.25,12.5,13.5,13.8,13.5,12.45,79,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc2,Caden Clinton,13.3,12.1,13.05,12.2,14.05,13.55,78.25,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc2,Kiran Mandava,13.15,11.2,13.1,13.8,13.35,12.65,77.25,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc2,David Ramirez,12.55,13.05,12.85,14.15,13.45,12.25,78.3,USA,NA,NA,NA,NA,NA,NA,NA
usa_nc2,Dallas Hale,13.85,10.9,10.3,14.1,12.6,11.15,72.9,USA,NA,NA,NA,NA,NA,NA,NA
