MEET,      NAME,                     Country,          FX,     PH,     SR,     VT,     PB,     HB,     AA
"eur_aaF", "Marios Georgiou",        "Cyprus ",        13.533, 14.266, 13.233, 14.100, 14.633, 14.500, 84.265
"eur_aaF", "Oleg Verniaiev",         "Ukraine ",       13.733, 15.166, 14.033, 14.666, 14.200, 12.233, 84.031
"eur_aaF", "Yumin Abbadini",         "Italy ",         14.066, 14.233, 13.700, 14.000, 13.433, 14.333, 83.765
"eur_aaF", "Jake Jarman",            "Great Britain ", 14.533, 13.866, 13.133, 14.933, 13.400, 13.566, 83.431
"eur_aaF", "Krisztofer Meszaros",    "Hungary ",       14.333, 13.500, 13.366, 13.966, 14.233, 14.000, 83.398
"eur_aaF", "Illia Kovtun",           "Ukraine ",       11.966, 13.700, 13.466, 14.333, 15.266, 14.600, 83.331
"eur_aaF", "Nestor Abad",            "Spain ",         13.733, 13.366, 13.800, 14.300, 14.166, 13.433, 82.798
"eur_aaF", "Artem Dolgopyat",        "Israel ",        15.200, 12.600, 13.033, 14.433, 13.566, 13.600, 82.432
"eur_aaF", "Adem Asil",              "Türkiye ",       14.066, 11.966, 14.933, 15.133, 12.900, 13.333, 82.331
"eur_aaF", "Ilias Georgiou",         "Cyprus ",        13.600, 12.500, 13.500, 14.433, 14.200, 13.833, 82.066
"eur_aaF", "Joel Plata",             "Spain ",         14.100, 12.366, 13.333, 13.433, 14.233, 14.466, 81.931
"eur_aaF", "Courtney Tulloch",       "Great Britain ", 13.800, 12.366, 14.700, 14.700, 13.700, 12.566, 81.832
"eur_aaF", "Matteo Giubellini",      "Switzerland ",   13.766, 14.600, 13.400, 13.900, 12.433, 13.666, 81.765
"eur_aaF", "Elias Koski",            "Finland ",       13.733, 13.800, 13.066, 14.000, 13.366, 13.633, 81.598
"eur_aaF", "Casimir Schmidt",        "Netherlands ",   12.900, 13.700, 13.500, 14.500, 13.500, 13.233, 81.333
"eur_aaF", "Oskar Kirmes",           "Finland ",       13.766, 13.766, 13.200, 13.800, 13.400, 13.300, 81.232
"eur_aaF", "Sofus Heggemsnes",       "Norway ",        13.333, 13.000, 13.266, 14.300, 13.566, 13.400, 80.865
"eur_aaF", "Pascal Brendel",         "Germany ",       13.800, 12.966, 12.400, 13.933, 13.700, 13.900, 80.699
"eur_aaF", "Nils Dunkel",            "Germany ",       13.233, 12.566, 13.366, 13.900, 14.266, 13.100, 80.431
"eur_aaF", "Krisztian Balazs",       "Hungary ",       12.966, 12.733, 13.066, 13.600, 14.100, 13.900, 80.365
"eur_aaF", "Adam Steele",            "Ireland ",       13.700, 13.600, 12.300, 14.433, 13.266, 13.033, 80.332
"eur_aaF", "Robert Kirmes",          "Finland ",       13.766, 11.800, 13.500, 13.866, 13.833, 13.466, 80.231
"eur_aaF", "Léo Saladino",           "France ",        14.100, 13.233, 13.633, 14.400, 13.300, 11.433, 80.099
"eur_aaF", "Uri Zeidel",             "Israel ",        13.366, 13.400, 13.566, 13.900, 13.333, 12.366, 79.931
"eur_aaF", "Lorenzo Casali",         "Italy ",         12.900, 13.066, 13.666, 13.200, 14.033, 12.666, 79.531
"eur_aaF", "Levan Skhiladze",        "Georgia ",       12.600, 14.266, 13.400, 12.933, 13.533, 12.766, 79.498
"eur_aaF", "David Rumbutis",         "Sweden ",        13.533, 11.400, 13.366, 13.533, 14.133, 13.500, 79.465
"eur_aaF", "Jim Zona",               "France ",        14.066, 11.600, 13.100, 13.533, 13.700, 13.133, 79.132
"eur_aaF", "Gagik Khachikyan",       "Armenia ",       13.366, 14.600, 12.466, 13.700, 12.633, 12.366, 79.131
"eur_aaF", "Gytis Chasazyrovas",     "Lithuania ",     13.900, 13.733, 12.766, 13.000, 12.900, 12.800, 79.099
"eur_aaF", "Antonios Tantalidis",    "Greece ",        13.266, 13.666, 12.433, 14.300, 13.000, 12.033, 78.698
"eur_aaF", "Luka van den Keybus",    "Belgium ",       13.600, 12.266, 12.900, 12.866, 14.200, 12.833, 78.665
"eur_aaF", "Valgard Reinhardsson",   "Iceland ",       13.466, 12.400, 12.566, 13.933, 13.066, 12.866, 78.297
"eur_aaF", "Christian Baumann",      "Switzerland ",   12.900, 12.133, 13.400, 13.200, 14.000, 12.366, 77.999
"eur_aaF", "Jermain Grünberg",       "Netherlands ",   11.966, 12.500, 12.933, 13.833, 14.066, 12.700, 77.998
"eur_aaF", "Erik Baghdasaryan",      "Armenia ",       12.533, 12.500, 13.166, 14.000, 12.666, 12.800, 77.665
"eur_aaF", "Guilherme Campos",       "Portugal ",      13.766, 12.133, 12.900, 13.800, 12.766, 12.066, 77.431
"eur_aaF", "Ilia Liubimov",          "Israel ",        13.233, 14.266, 12.600, 13.800, 13.133, 10.366, 77.398
"eur_aaF", "Sebastian Gawronski",    "Poland ",        14.033, 10.833, 12.900, 13.900, 13.033, 12.666, 77.365
"eur_aaF", "Harald Wibye",           "Norway ",        12.600, 12.633, 12.800, 12.733, 13.100, 13.266, 77.132
