MEET,      NAME,                     Nation,          FX_D, FX,     PH_D, PH,     SR_D, SR,     VT1_D, VT1,    VT2_D, VT2,    VT,     PB_D, PB,     HB_D, HB
"eur_evF", "Luke Whitehouse",        "Great Britain", 6.5,  14.866, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_evF", "Artem Dolgopyat",        "Israel",        6.4,  14.833, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_evF", "Krisztofer Meszaros",    "Hungary",       6.3,  14.600, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_evF", "Unai Baigorri",          "Spain",         5.8,  14.233, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_evF", "Léo Saladino",           "France",        5.9,  14.066, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_evF", "Jake Jarman",            "Great Britain", 6.3,  13.966, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_evF", "Nicolau Mir",            "Spain",         5.5,  13.666, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_evF", "Jim Zona",               "France",        5.1,  12.933, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_evF", "Rhys McClenaghan",       "Ireland",       NA,   NA,     6.5,  15.300, NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_evF", "Loran de Munck",         "Netherlands",   NA,   NA,     6.5,  14.933, NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_evF", "Marios Georgiou",        "Cyprus",        NA,   NA,     6.2,  14.800, NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_evF", "Matteo Giubellini",      "Switzerland",   NA,   NA,     6.1,  14.600, NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_evF", "Filip Ude",              "Croatia",       NA,   NA,     5.8,  14.533, NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_evF", "Levan Skhiladze",        "Georgia",       NA,   NA,     5.8,  14.233, NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_evF", "Oleg Verniaiev",         "Ukraine",       NA,   NA,     6.7,  14.200, NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
