MEET,    NAME,                     TEAM,  FX_D, FX,     PH_D, PH,     SR_D, SR,     VT1_D, VT1,    VT2_D, VT2,    VT,     PB_D, PB,     HB_D, HB
"eur_Q", "Artem Dolgopyat",        "ISR", 6.4,  15.200, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Luke Whitehouse",        "GBR", 6.5,  14.766, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Jake Jarman",            "GBR", 6.3,  14.533, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Krisztofer Meszaros",    "HUN", 6.3,  14.333, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Nicolau Mir",            "ESP", 5.5,  14.233, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Unai Baigorri",          "ESP", 5.8,  14.166, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Joel Plata",             "ESP", 5.7,  14.100, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Léo Saladino",           "FRA", 5.9,  14.100, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Jim Zona",               "FRA", 5.3,  14.066, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Yumin Abbadini",         "ITA", 5.5,  14.066, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Adem Asil",              "TUR", 5.5,  14.066, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Sebastian Gawronski",    "POL", 5.7,  14.033, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Eamon Montgomery",       "IRE", 5.9,  14.000, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Anze Hribar",            "SLO", 5.7,  13.933, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Michalis Chari",         "CYP", 5.7,  13.900, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Milan Hosseini",         "GER", 5.7,  13.900, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Gytis Chasazyrovas",     "LIT", 5.9,  13.900, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Kevin Penev",            "BUL", 6.1,  13.900, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Dominick Cunningham",    "IRE", 5.7,  13.866, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Courtney Tulloch",       "GBR", 5.6,  13.800, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "James Hall",             "GBR", 5.8,  13.800, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Pascal Brendel",         "GER", 5.9,  13.800, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Aurel Benovic",          "CRO", 6.3,  13.800, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Robert Kirmes",          "FIN", 5.4,  13.766, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Oskar Kirmes",           "FIN", 5.4,  13.766, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Guilherme Campos",       "POR", 5.5,  13.766, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Matteo Giubellini",      "SWI", 5.5,  13.766, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Niklas Syverhuset",      "NOR", 5.6,  13.766, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Oleg Verniaiev",         "UKR", 5.6,  13.733, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Elias Koski",            "FIN", 5.4,  13.733, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Nestor Abad",            "ESP", 5.8,  13.733, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Emre Dodanli",           "TUR", 5.9,  13.733, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Askhab Matiev",          "OST", 5.4,  13.700, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Adam Steele",            "IRE", 5.4,  13.700, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Noah Kuavita",           "BEL", 5.5,  13.666, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Botond Molnar",          "HUN", 5.8,  13.633, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Ilias Georgiou",         "CYP", 5.1,  13.600, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Nicholas Tarca",         "ROM", 5.4,  13.600, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Luka van den Keybus",    "BEL", 5.5,  13.600, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Neofytos Kyriakou",      "CYP", 5.2,  13.566, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Agust Davidsson",        "ICE", 5.3,  13.566, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Nazar Chepurnyi",        "UKR", 5.3,  13.566, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "David Rumbutis",         "SWE", 4.8,  13.533, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Marios Georgiou",        "CYP", 5.4,  13.533, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Akseli Karsikas",        "FIN", 5.2,  13.533, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Luca Murabito",          "SWI", 6.0,  13.500, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
"eur_Q", "Valgard Reinhardsson",   "ICE", 5.3,  13.466, NA,   NA,     NA,   NA,     NA,    NA,     NA,    NA,     NA,     NA,   NA,     NA,   NA
