MEET,     NAME,                      FX,     PH,     SR,     VT,     PB,     HB,     AA
"gbr_nc", "Joe Fraser",              13.800, 14.450, 13.650, 14.150, 14.600, 14.250, 84.900
"gbr_nc", "Jake Jarman",             14.600, 14.400, 12.750, 14.050, 14.650, 13.900, 84.350
"gbr_nc", "Courtney Tulloch",        13.400, 12.500, 14.300, 14.200, 13.750, 12.000, 80.150
"gbr_nc", "Reuben Ward",             13.100, 14.050, 12.750, 13.750, 13.300, 13.000, 79.950
"gbr_nc", "Adam Tobin",              13.400, 11.300, 12.100, 14.650, 13.950, 12.750, 78.150
"gbr_nc", "Luke Whitehouse",         12.700, 11.550, 13.650, 13.950, 12.700, 12.950, 77.500
"gbr_nc", "Cameron Lynn",            13.300, 13.150, 12.750, 12.500, 13.250, 12.500, 77.450
"gbr_nc", "Oakley Banks",            13.200, 11.350, 12.750, 14.150, 13.000, 12.200, 76.650
"gbr_nc", "Joe Cemlyn-Jones",        10.450, 12.050, 13.550, 12.800, 14.050, 13.050, 75.950
"gbr_nc", "Patrick Watkinson",       12.600, 13.950, 11.750, 13.200, 11.350, 13.100, 75.950
"gbr_nc", "Remell Robinson-Bailey",  13.200, 9.550,  13.000, 14.150, 12.450, 12.800, 75.150
"gbr_nc", "Sam Mostowfi",            13.650, 10.150, 12.350, 14.600, 12.650, 11.550, 74.950
"gbr_nc", "Jacob Edwards",           13.200, 10.850, 12.450, 13.300, 12.250, 12.450, 74.500
"gbr_nc", "Hamish Carter",           12.150, 10.650, 12.450, 13.150, 13.250, 12.300, 73.950
"gbr_nc", "Charlie Harvey-Lloyd",    11.150, 10.500, 12.350, 13.200, 12.800, 13.200, 73.200
"gbr_nc", "Euan McLellan",           12.300, 10.350, 12.600, 12.600, 12.550, 12.550, 72.950
"gbr_nc", "Ryan Cirino",             12.600, 11.550, 12.500, 13.350, 12.100, 10.700, 72.800
"gbr_nc", "Finlay Morgan",           12.200, 12.550, 11.200, 13.050, 11.750, 11.700, 72.450
"gbr_nc", "Iwan Scrivens",           11.550, 12.800, 11.650, 12.850, 12.450, 10.200, 71.500
"gbr_nc", "Thomas Jones",            12.100, 11.200, 11.550, 13.400, 11.450, 11.600, 71.300
"gbr_nc", "Theo-Amari Ochana",       12.300, 8.750,  12.400, 13.150, 12.100, 11.650, 70.350
"gbr_nc", "Samuel Ghinn",            12.750, 11.100, 11.900, 14.200, 11.000, 9.250,  70.200
"gbr_nc", "Henry Lewis",             12.250, 8.800,  12.600, 13.650, 11.550, 11.000, 69.850
"gbr_nc", "Joshua Porter",           11.150, 10.600, 11.350, 12.700, 11.350, 12.700, 69.850
"gbr_nc", "Henry Brooker",           12.550, 6.600,  11.900, 14.200, 11.200, 12.500, 68.950
"gbr_nc", "Luke Marsh",              12.300, 11.400, 12.650, 12.750, 10.400, 9.450,  68.950
"gbr_nc", "Felix Coomber",           12.150, 11.850, 7.600,  13.250, 11.050, 11.300, 67.200
"gbr_nc", "Euan Cox",                13.000, 3.700,  12.200, 12.700, 12.900, 10.950, 65.450
"gbr_nc", "James Hall",              13.250, 11.600, 13.300, NA,     13.700, 13.450, 65.300
"gbr_nc", "Ryan Owen",               NA,     8.400,  11.900, 12.950, 11.600, 13.000, 57.850
"gbr_nc", "Max Whitlock",            NA,     15.500, NA,     NA,     14.150, 13.100, 42.750
"gbr_nc", "Alexander Yolshina-Cash", NA,     11.550, NA,     NA,     13.300, 11.900, 36.750
"gbr_nc", "Jake Johnson",            NA,     NA,     11.550, 12.750, 11.850, NA,     36.150
"gbr_nc", "Pacey Foster",            NA,     2.300,  11.300, NA,     9.100,  7.600,  30.300
"gbr_nc", "Harry Hepworth",          NA,     NA,     14.650, NA,     13.250, NA,     27.900
"gbr_nc", "Danny Crouch",            NA,     12.000, NA,     NA,     NA,     NA,     12.000
