Night,   NAME,              FX,     PH,     SR,     VT,     PB,     HB,     AA,     Total
2, "Hashimoto Daiki",    15.000, 15.133, 14.166, 15.100, 14.766, 13.800, 87.965, 176.164
2, "Oka Shinnosuke",     14.533, 13.633, 14.466, 14.333, 15.200, 13.933, 86.098, 172.264
2, "Kaya Kazuma",        14.000, 14.700, 14.133, 14.133, 14.766, 14.000, 85.732, 171.596
2, "Sugino Takaaki",     14.000, 15.000, 13.133, 14.800, 14.100, 15.100, 86.133, 170.498
2, "Doi Ryosuke",        14.200, 14.166, 13.333, 14.800, 14.600, 13.100, 84.199, 169.797
2, "Tanaka Yusuke",      13.700, 13.466, 13.700, 14.033, 14.966, 14.933, 84.798, 169.764
2, "Matsumi Kazuki",     14.433, 13.900, 13.833, 14.300, 14.900, 14.133, 85.499, 169.098
2, "Miwa Teppei",        13.966, 13.600, 13.633, 14.900, 15.233, 13.533, 84.865, 169.063
2, "Kawakami Shohei",    14.100, 13.766, 13.400, 14.533, 14.833, 14.533, 85.165, 168.863
2, "Hasegawa Tsuyoshi",  13.966, 14.400, 13.700, 13.833, 15.000, 12.700, 83.599, 168.730
2, "Kato Yuto",          13.766, 14.500, 13.766, 14.566, 14.600, 13.100, 84.298, 168.297
2, "Tanida Masaharu",    14.366, 13.766, 13.566, 14.733, 14.666, 13.800, 84.897, 168.261
2, "Fujimaki Shunpei",   13.533, 14.266, 13.866, 14.400, 13.900, 14.133, 84.098, 167.929
2, "Tsunogai Tomoharu",  13.933, 14.133, 12.966, 14.466, 13.566, 13.000, 82.064, 167.129
2, "Tanigawa Wataru",    14.200, 13.333, 14.400, 14.800, 15.100, 12.233, 84.066, 167.064
2, "Tachibana Shiga",    14.066, 13.866, 13.466, 14.466, 14.533, 13.466, 83.863, 166.863
2, "Ueyama Rentaro",     14.200, 13.566, 14.233, 14.666, 13.133, 13.133, 82.931, 166.362
2, "Sasaki Fumiya",      14.033, 14.100, 13.033, 14.933, 14.366, 13.133, 83.598, 166.296
2, "Haruki Minori",      13.900, 13.200, 14.500, 14.666, 13.933, 12.633, 82.832, 165.497
2, "Aoki Shota",         14.600, 12.933, 13.766, 14.333, 14.166, 12.466, 82.264, 164.961
2, "Kitazono Takeru",    13.900, 13.800, 13.633, 13.500, 13.566, 14.200, 81.931, 164.530
2, "Tanabe Yui",         14.200, 14.366, 13.366, 14.266, 14.200, 11.466, 81.864, 164.529
2, "Yunoki Kentaro",     13.533, 12.266, 13.833, 14.400, 13.633, 13.766, 81.431, 164.529
2, "Kaneda Kiichi",      14.166, 12.400, 14.866, 14.133, 14.133, 12.933, 82.631, 164.496
2, "Fujio Takumi",       13.766, 14.100, 13.000, 14.433, 12.966, 14.000, 82.265, 164.163
2, "Kondo Mamoru",       13.466, 14.233, 12.833, 14.233, 13.100, 13.933, 81.798, 163.563
2, "Tsumura Ryota",      13.833, 15.033, 13.066, 14.300, 13.533, 11.766, 81.531, 163.430
2, "Ishizawa Hiroto",    13.333, 14.300, 13.066, 13.533, 14.033, 12.533, 80.798, 163.296
2, "Hirano Shunsuke",    13.000, 13.800, 13.633, 13.866, 12.900, 12.766, 79.965, 161.863
2, "Kitamura Fumiya",    13.233, 10.066, 13.500, 13.700, 14.300, 13.766, 78.565, 160.364
2, "Chiba Kenta",        14.166, NA,     NA,     NA,     14.500, NA,     28.666, 109.730
2, "Tanigawa Kakeru",    14.000, NA,     NA,     NA,     13.700, NA,     27.700, 107.399
2, "Sugimoto Kaito",     NA,     NA,     NA,     NA,     15.100, NA,     15.100, 96.498
2, "Maeda Koki",         NA,     NA,     NA,     NA,     14.500, NA,     14.500, 95.232
2, "Kamoto Yuya",        NA,     NA,     14.633, NA,     NA,     NA,     14.633, 94.964
2, "Hidaka Daiki",       NA,     NA,     NA,     NA,     NA,     13.833, 13.833, 94.897
2, "Ueda NAoki",         NA,     NA,     NA,     NA,     NA,     13.966, 13.966, 94.832
2, "Takahashi Kazuya",   NA,     NA,     14.633, NA,     NA,     NA,     14.633, 94.465
2, "Nagayoshi Yu",       NA,     13.833, NA,     NA,     NA,     NA,     13.833, 94.132
2, "Sawamoto Ryuhei",    NA,     13.666, NA,     NA,     NA,     NA,     13.666, 94.032
2, "Tanabe Soichiro",    NA,     NA,     14.200, NA,     NA,     NA,     14.200, 93.598
2, "Ebisu Yota",         NA,     NA,     NA,     NA,     NA,     13.966, 13.966, 93.331
2, "Kobata Rensei",      NA,     NA,     NA,     NA,     NA,     12.466, 12.466, 93.065
2, "Kabeya Hinata",      NA,     NA,     NA,     14.866, NA,     NA,     14.866, 93.032
2, "Uchida Hayato",      13.933, NA,     NA,     NA,     NA,     NA,     13.933, 92.464
2, "Nagasaki Shuto",     NA,     14.533, NA,     NA,     NA,     NA,     14.533, 91.864
2, "Iwasawa Shoei",      NA,     NA,     NA,     14.966, NA,     NA,     14.966, 44.099
2, "Nakayama Rei",       NA,     NA,     NA,     NA,     14.700, NA,     14.700, 42.499
2, "Minami Kazuki",      14.066, NA,     NA,     NA,     NA,     NA,     14.066, 41.398
2, "Hayasaka Akimune",   NA,     NA,     NA,     15.066, NA,     NA,     15.066, 29.899
2, "Nizeki Aisho",       NA,     NA,     NA,     15.033, NA,     NA,     15.033, 29.866
2, "Ono Ryoki",          NA,     NA,     NA,     14.966, NA,     NA,     14.966, 29.866
2, "Banri Iwatsuki",     NA,     NA,     NA,     NA,     14.666, NA,     14.666, 29.532
2, "Asayama Yudai",      NA,     14.700, NA,     NA,     NA,     NA,     14.700, 29.433
2, "Ueda Yuta",          NA,     NA,     14.666, NA,     NA,     NA,     14.666, 29.199
2, "Maeda Fusuke",       NA,     NA,     NA,     NA,     NA,     14.300, 14.300, 28.933
2, "Yamasaki Kyota",     NA,     NA,     14.366, NA,     NA,     NA,     14.366, 28.766
2, "Fujino Yunoshin",    14.066, NA,     NA,     NA,     NA,     NA,     14.066, 28.299
2, "Hiramatsu Koga",     13.800, NA,     NA,     NA,     NA,     NA,     13.800, 28.166
2, "Kasaoka Yoshiyuki",  NA,     NA,     14.000, NA,     NA,     NA,     14.000, 28.066
2, "Sunaga Koki",        NA,     14.133, NA,     NA,     NA,     NA,     14.133, 27.966
2, "Kudo Yuya",          NA,     12.566, NA,     NA,     NA,     NA,     12.566, 26.566
2, "Aoki Ryuto",         NA,     NA,     NA,     NA,     NA,     12.100, 12.100, 26.100
1, "Hashimoto Daiki",    14.300, 14.966, 14.100, 14.900, 14.833, 15.100, 88.199, NA
1, "Oka Shinnosuke",     14.500, 14.700, 14.433, 13.933, 14.000, 14.600, 86.166, NA
1, "Kaya Kazuma",        13.566, 14.533, 14.233, 14.533, 14.933, 14.066, 85.864, NA
1, "Doi Ryosuke",        14.100, 14.333, 12.966, 14.433, 14.866, 14.900, 85.598, NA
1, "Hasegawa Tsuyoshi",  13.933, 14.600, 13.700, 13.866, 14.666, 14.366, 85.131, NA
1, "Tsunogai Tomoharu",  14.233, 14.033, 13.000, 14.400, 14.666, 14.733, 85.065, NA
1, "Tanaka Yusuke",      13.900, 13.500, 13.700, 13.666, 15.200, 15.000, 84.966, NA
1, "Sugino Takaaki",     14.300, 13.700, 12.900, 14.733, 14.166, 14.566, 84.365, NA
1, "Miwa Teppei",        14.366, 12.400, 14.200, 15.033, 14.866, 13.333, 84.198, NA
1, "Kato Yuto",          13.900, 14.266, 13.800, 14.300, 14.400, 13.333, 83.999, NA
1, "Fujimaki Shunpei",   13.900, 14.266, 14.133, 14.033, 13.333, 14.166, 83.831, NA
1, "Kawakami Shohei",    13.900, 13.933, 12.133, 14.500, 14.766, 14.466, 83.698, NA
1, "Matsumi Kazuki",     14.133, 14.033, 12.800, 13.900, 14.800, 13.933, 83.599, NA
1, "Ueyama Rentaro",     14.033, 13.400, 14.166, 14.933, 13.666, 13.233, 83.431, NA
1, "Tanida Masaharu",    14.200, 13.866, 13.800, 14.566, 14.666, 12.266, 83.364, NA
1, "Yunoki Kentaro",     13.833, 12.533, 14.233, 14.333, 14.633, 13.533, 83.098, NA
1, "Tachibana Shiga",    13.600, 13.500, 13.500, 14.400, 14.400, 13.600, 83.000, NA
1, "Tanigawa Wataru",    13.833, 12.933, 14.466, 14.366, 14.800, 12.600, 82.998, NA
1, "Sasaki Fumiya",      13.933, 13.566, 13.100, 14.833, 14.233, 13.033, 82.698, NA
1, "Aoki Shota",         14.533, 12.633, 13.466, 14.266, 14.033, 13.766, 82.697, NA
1, "Haruki Minori",      13.633, 13.166, 14.300, 14.800, 14.200, 12.566, 82.665, NA
1, "Tanabe Yui",         14.033, 14.266, 13.100, 14.266, 13.800, 13.200, 82.665, NA
1, "Ishizawa Hiroto",    13.533, 14.633, 12.866, 13.433, 14.300, 13.733, 82.498, NA
1, "Kitazono Takeru",    13.500, 13.233, 13.700, 12.666, 14.766, 14.066, 81.931, NA
1, "Tsumura Ryota",      13.833, 15.100, 13.400, 14.133, 13.500, 11.933, 81.899, NA
1, "Fujio Takumi",       13.600, 14.066, 12.833, 14.333, 13.366, 13.700, 81.898, NA
1, "Hirano Shunsuke",    13.333, 13.766, 14.000, 14.166, 13.733, 12.900, 81.898, NA
1, "Kaneda Kiichi",      14.033, 12.200, 14.900, 14.000, 14.066, 12.666, 81.865, NA
1, "Kitamura Fumiya",    13.500, 13.400, 13.800, 13.333, 14.000, 13.766, 81.799, NA
1, "Kondo Mamoru",       13.500, 14.100, 13.033, 13.866, 13.500, 13.766, 81.765, NA
1, "Kaneko Tomoki",      14.000, 13.500, 13.466, 13.900, 14.000, 12.566, 81.432, NA
1, "Sugimoto Kaito",     13.933, 12.366, 14.066, 13.100, 14.800, 13.133, 81.398, NA
1, "Suzuki Shigeto",     13.200, 13.500, 12.500, 14.133, 14.100, 13.733, 81.166, NA
1, "Suetsugo Kotaro",    13.000, 13.800, 12.900, 13.466, 14.066, 13.833, 81.065, NA
1, "Chiba Kenta",        14.166, 12.933, 13.966, 14.433, 14.666, 10.900, 81.064, NA
1, "Hidaka Daiki",       13.333, 13.466, 12.866, 14.333, 13.100, 13.966, 81.064, NA
1, "Ueda NAoki",         12.300, 13.500, 13.300, 13.433, 14.433, 13.900, 80.866, NA
1, "Maeda Koki",         13.900, 12.433, 13.533, 14.433, 14.600, 11.833, 80.732, NA
1, "Inui Jinpei",        13.900, 12.933, 12.266, 13.833, 14.466, 13.233, 80.631, NA
1, "Kobata Rensei",      12.933, 13.600, 12.733, 14.000, 13.433, 13.900, 80.599, NA
1, "Sawamoto Ryuhei",    12.900, 14.000, 12.900, 14.200, 13.000, 13.366, 80.366, NA
1, "Kamoto Yuya",        12.966, 13.000, 14.566, 14.033, 13.366, 12.400, 80.331, NA
1, "Nagayoshi Yu",       13.700, 14.033, 13.100, 14.033, 12.533, 12.900, 80.299, NA
1, "Aiba Takuro",        13.200, 13.400, 13.300, 13.466, 13.833, 13.066, 80.265, NA
1, "Ueda Takuma",        13.500, 12.900, 12.966, 14.500, 13.133, 13.200, 80.199, NA
1, "Takei Yusuke",       13.700, 12.566, 13.933, 13.533, 13.766, 12.466, 79.964, NA
1, "Okubo Keitaro",      13.466, 12.666, 13.166, 14.366, 13.400, 12.800, 79.864, NA
1, "Takahashi Kazuya",   13.966, 11.600, 14.700, 13.300, 13.500, 12.766, 79.832, NA
1, "Noda Rento",         13.966, 12.766, 13.166, 13.366, 13.866, 12.633, 79.763, NA
1, "Tanigawa Kakeru",    14.233, 13.100, 12.966, 12.600, 14.500, 12.300, 79.699, NA
1, "Fujisaki Himuka",    13.600, 13.200, 12.533, 14.100, 13.266, 12.966, 79.665, NA
1, "Tanabe Soichiro",    14.033, 11.366, 14.100, 13.433, 13.533, 12.933, 79.398, NA
1, "Ebisu Yota",         13.433, 12.166, 13.300, 13.633, 12.933, 13.900, 79.365, NA
1, "Tajima Syota",       13.733, 11.200, 13.666, 13.800, 14.100, 12.633, 79.132, NA
1, "Komori Keisuke",     12.966, 11.466, 13.333, 14.366, 13.433, 13.266, 78.830, NA
1, "Murayama Koki",      13.300, 13.000, 13.000, 14.300, 13.400, 11.600, 78.600, NA
1, "Kamoto Sho",         13.466, 12.433, 12.533, 13.800, 14.200, 12.166, 78.598, NA
1, "Uchida Hayato",      14.066, 12.333, 12.000, 14.166, 13.566, 12.400, 78.531, NA
1, "Katayama Ashu",      13.466, 12.966, 12.000, 14.133, 13.100, 12.733, 78.398, NA
1, "Kabeya Hinata",      13.900, 12.400, 11.300, 14.800, 12.866, 12.900, 78.166, NA
1, "Bando Yusei",        13.000, 12.100, 13.266, 13.566, 12.866, 13.100, 77.898, NA
1, "Yoshida Motomu",     13.866, 10.866, 13.700, 13.633, 13.066, 12.600, 77.731, NA
1, "Nagasaki Shuto",     12.433, 14.200, 12.900, 12.566, 12.666, 12.566, 77.331, NA
1, "Nakamura Ryutaro",   13.600, 11.800, 12.033, 13.400, 13.733, 12.700, 77.266, NA
1, "Morikawa Akinori",   13.633, 12.300, 12.733, 14.066, 10.533, 13.833, 77.098, NA
1, "Yasui Hideya",       12.666, 11.733, 12.300, 13.633, 13.366, 12.533, 76.231, NA
1, "Fukubayashi Haruki", 12.933, 12.000, 12.633, 13.400, 13.733, 11.166, 75.865, NA
1, "Hama Shota",         13.166, 11.633, 12.600, 13.666, 11.033, 12.433, 74.531, NA
1, "Yamazaki Kaine",     13.400, 10.366, 11.933, 12.600, 12.733, 10.533, 71.565, NA
1, "Kamiyama Haruto",    11.633, NA,     13.500, 15.100, 13.800, 12.766, 66.799, NA
1, "Yamazaki Hiroki",    13.866, 12.533, 13.666, 13.300, 1.733,  NA,     55.098, NA
1, "Iwasawa Shoei",      13.900, NA,     NA,     15.233, NA,     NA,     29.133, NA
1, "Nakayama Rei",       NA,     NA,     NA,     NA,     14.566, 13.233, 27.799, NA
1, "Minami Kazuki",      14.166, NA,     NA,     13.166, NA,     NA,     27.332, NA
1, "Yanagi Yuuki",       NA,     NA,     NA,     NA,     13.866, 13.333, 27.199, NA
1, "Ono Ryoki",          NA,     NA,     NA,     14.900, NA,     NA,     14.900, NA
1, "Banri Iwatsuki",     NA,     NA,     NA,     NA,     14.866, NA,     14.866, NA
1, "Hayasaka Akimune",   NA,     NA,     NA,     14.833, NA,     NA,     14.833, NA
1, "Nizeki Aisho",       NA,     NA,     NA,     14.833, NA,     NA,     14.833, NA
1, "Asayama Yudai",      NA,     14.733, NA,     NA,     NA,     NA,     14.733, NA
1, "Maeda Fusuke",       NA,     NA,     NA,     NA,     NA,     14.633, 14.633, NA
1, "Sakumoto Junya",     NA,     NA,     NA,     14.600, NA,     NA,     14.600, NA
1, "Ueda Yuta",          NA,     NA,     14.533, NA,     NA,     NA,     14.533, NA
1, "Yamasaki Kyota",     NA,     NA,     14.400, NA,     NA,     NA,     14.400, NA
1, "Hiramatsu Koga",     14.366, NA,     NA,     NA,     NA,     NA,     14.366, NA
1, "Sato Moto",          NA,     NA,     NA,     NA,     14.300, NA,     14.300, NA
1, "Fujino Yunoshin",    14.233, NA,     NA,     NA,     NA,     NA,     14.233, NA
1, "Ogino Einosuke",     NA,     NA,     NA,     NA,     14.200, NA,     14.200, NA
1, "Kasaoka Yoshiyuki",  NA,     NA,     14.066, NA,     NA,     NA,     14.066, NA
1, "Aoki Ryuto",         NA,     NA,     NA,     NA,     NA,     14.000, 14.000, NA
1, "Kudo Yuya",          NA,     14.000, NA,     NA,     NA,     NA,     14.000, NA
1, "Banba Outa",         13.900, NA,     NA,     NA,     NA,     NA,     13.900, NA
1, "Itabashi Towa",      NA,     NA,     13.833, NA,     NA,     NA,     13.833, NA
1, "Sunaga Koki",        NA,     13.833, NA,     NA,     NA,     NA,     13.833, NA
1, "Tamura Yu",          NA,     NA,     13.766, NA,     NA,     NA,     13.766, NA
1, "Nose Atsuto",        NA,     13.700, NA,     NA,     NA,     NA,     13.700, NA
1, "Kato Ryohei",        13.666, NA,     NA,     NA,     NA,     NA,     13.666, NA
1, "Soma Hiromu",        NA,     13.466, NA,     NA,     NA,     NA,     13.466, NA
1, "Kishida Masaharu",   NA,     NA,     NA,     NA,     NA,     13.366, 13.366, NA
1, "Hirumachi Yuta",     NA,     NA,     13.166, NA,     NA,     NA,     13.166, NA
