Night, NAME,             FX,     PH,     SR,     VT,     PB,     HB,     AA
1,     "Oka Shinnosuke",    14.400, 13.533, 14.300, 14.100, 15.133, 14.466, 85.932
2,     "Oka Shinnosuke",    14.200, 12.466, 14.366, 14.433, 14.466, 14.600, 84.531
1,     "Kaya Kazuma",       13.333, 14.433, 14.100, 14.733, 15.000, 13.300, 84.899
2,     "Kaya Kazuma",       13.466, 14.600, 14.133, 14.200, 14.466, 14.066, 84.931
1,     "Doi Ryosuke",       14.666, 14.000, 13.300, 14.800, 14.500, 13.166, 84.432
2,     "Doi Ryosuke",       14.666, 14.400, 13.066, 14.733, 14.500, 15.066, 86.431
1,     "Tanaka Yusuke",     13.966, 13.866, 13.900, 13.866, 15.100, 14.666, 85.364
2,     "Tanaka Yusuke",     13.966, 13.766, 13.733, 14.066, 14.900, 14.833, 85.264
1,     "Sugino Takaaki",    14.166, 15.100, 12.833, 14.300, 12.700, 14.766, 83.865
2,     "Sugino Takaaki",    14.400, 15.000, 12.866, 14.833, 13.533, 14.866, 85.498
1,     "Miwa Teppei",       14.166, 13.600, 13.866, 14.466, 14.966, 14.466, 85.530
2,     "Miwa Teppei",       14.266, 13.700, 12.933, 15.166, 14.900, 14.200, 85.165
1,     "Matsumi Kazuki",    14.233, 14.100, 13.966, 14.166, 14.633, 14.133, 85.231
2,     "Matsumi Kazuki",    14.100, 14.033, 13.866, 14.100, 14.866, 14.166, 85.131
1,     "Hasegawa Tsuyoshi", 13.900, 13.900, 13.766, 14.200, 14.933, 14.266, 84.965
2,     "Hasegawa Tsuyoshi", 14.066, 13.500, 13.766, 14.300, 15.000, 14.300, 84.932
1,     "Tsunogai Tomoharu", 14.166, 14.633, 13.400, 14.466, 14.500, 14.700, 85.865
2,     "Tsunogai Tomoharu", 14.200, 14.133, 13.133, 14.666, 14.100, 14.500, 84.732
1,     "Tanida Masaharu",   14.533, 13.433, 13.566, 14.433, 14.600, 14.166, 84.731
2,     "Tanida Masaharu",   14.000, 12.500, 13.766, 14.733, 14.800, 14.100, 83.899
1,     "Fujimaki Shunpei",  13.900, 14.200, 14.200, 14.033, 14.000, 13.166, 83.499
2,     "Fujimaki Shunpei",  13.766, 14.133, 14.066, 14.400, 13.700, 14.233, 84.298
1,     "Tanigawa Wataru",   14.133, 12.966, 14.400, 15.133, 15.066, 12.033, 83.731
2,     "Tanigawa Wataru",   13.033, 13.633, 14.566, 15.433, 14.766, 13.366, 84.797
1,     "Kawakami Shohei",   13.700, 12.933, 13.466, 14.966, 14.500, 12.700, 82.265
2,     "Kawakami Shohei",   13.800, 14.000, 13.533, 14.766, 13.566, 14.600, 84.265
1,     "Tachibana Shiga",   14.433, 13.600, 13.233, 14.400, 14.000, 13.366, 83.032
2,     "Tachibana Shiga",   13.966, 13.700, 13.433, 14.333, 14.500, 13.400, 83.332
1,     "Ueyama Rentaro",    14.300, 12.200, 13.966, 14.900, 14.133, 13.266, 82.765
2,     "Ueyama Rentaro",    14.400, 13.666, 14.166, 14.666, 13.933, 13.266, 84.097
1,     "Kitazono Takeru",   13.533, 13.200, 13.933, 14.433, 14.833, 14.100, 84.032
2,     "Kitazono Takeru",   13.600, 13.833, 13.866, 14.500, 14.433, 14.200, 84.432
1,     "Yunoki Kentaro",    13.900, 13.733, 13.900, 14.433, 14.633, 13.900, 84.499
2,     "Yunoki Kentaro",    13.500, 13.900, 14.233, 14.033, 14.433, 13.733, 83.832
1,     "Kato Yuto",         13.933, 14.500, 13.633, 13.566, 13.300, 12.666, 81.598
2,     "Kato Yuto",         13.800, 14.533, 13.500, 14.333, 14.133, 11.866, 82.165
1,     "Sasaki Fumiya",     13.266, 14.466, 12.966, 14.966, 13.933, 12.166, 81.763
2,     "Sasaki Fumiya",     NA,     NA,     NA,     NA,     NA,     NA,     NA
1,     "Aoki Shota",        14.366, 13.033, 13.333, 14.400, 14.200, 13.666, 82.998
2,     "Aoki Shota",        NA,     NA,     NA,     NA,     NA,     NA,     NA
1,     "Haruki Minori",     13.866, 12.600, 14.400, 14.666, 14.033, 12.333, 81.898
2,     "Haruki Minori",     NA,     NA,     NA,     NA,     NA,     NA,     NA
1,     "Fujio Takumi",      13.800, 14.300, 13.166, 14.266, 13.700, 13.533, 82.765
