MEET,      NAME,                  FX,     PH,     SR,     VT,     PB,     HB,     AA
"usa_nc1", "Brody Malone",        14.000, 14.100, 14.400, 14.000, 14.550, 14.900, 85.950
"usa_nc1", "Fred Richard",        14.600, 12.850, 14.000, 14.200, 14.300, 14.400, 84.350
"usa_nc1", "Donnell Whittenburg", 13.900, 13.000, 14.350, 14.450, 14.400, 13.400, 83.500
"usa_nc1", "Colt Walker",         13.600, 13.650, 13.800, 14.050, 14.950, 13.450, 83.500
"usa_nc1", "Khoi Young",          14.150, 12.600, 13.200, 14.800, 14.900, 13.750, 83.400
"usa_nc1", "Shane Wiskus",        14.450, 13.600, 13.050, 14.300, 14.500, 13.500, 83.400
"usa_nc1", "Paul Juda",           14.750, 13.900, 13.950, 13.550, 14.150, 12.450, 82.750
"usa_nc1", "Cameron Bock",        13.500, 14.100, 13.900, 13.950, 13.450, 13.850, 82.750
"usa_nc1", "Yul Moldauer",        14.600, 12.550, 14.000, 12.650, 15.400, 13.250, 82.450
"usa_nc1", "Asher Hong",          13.900, 11.750, 14.500, 14.000, 14.750, 13.350, 82.250
"usa_nc1", "Fuzzy Benas",         14.000, 13.750, 13.200, 13.950, 13.650, 13.050, 81.600
"usa_nc1", "Jeremy Bischoff",     13.900, 12.800, 12.850, 13.900, 14.200, 13.750, 81.400
"usa_nc1", "Riley Loos",          13.550, 12.500, 13.900, 14.050, 13.350, 13.300, 80.650
"usa_nc1", "Taylor Burkhart",     13.500, 13.500, 13.850, 12.750, 14.300, 12.750, 80.650
"usa_nc1", "Taylor Christopulos", 13.900, 12.600, 13.100, 14.250, 13.600, 12.800, 80.250
"usa_nc1", "Kiran Mandava",       13.200, 13.350, 12.650, 13.300, 13.250, 13.150, 78.900
"usa_nc1", "Joshua Karnes",       13.000, 13.150, 12.850, 10.750, 14.600, 13.600, 77.950
"usa_nc1", "Samuel Phillips",     13.500, 11.500, 13.300, 13.800, 12.350, 13.500, 77.950
"usa_nc1", "Caden Clinton",       13.050, 11.950, 13.500, 12.650, 13.450, 13.300, 77.900
"usa_nc1", "Landen Blixt",        14.000, 12.850, 13.100, 11.100, 14.100, 12.450, 77.600
"usa_nc1", "Dallas Hale",         12.450, 13.100, 11.800, 14.100, 14.700, 11.100, 77.250
"usa_nc1", "Kai Uemura",          13.050, 10.050, 12.800, 12.550, 13.800, 12.900, 75.150
"usa_nc1", "David Ramirez",       12.100, 11.600, 11.650, 13.350, 13.200, 11.950, 73.850
"usa_nc1", "Erich Upton",         12.800, 9.2002, 11.200, 14.100, 13.700, 12.600, 73.600
"usa_nc1", "Tate Costa",          11.800, 8.9002, 11.300, 13.550, 11.350, 10.600, 67.500
"usa_nc1", "Ian Gunther",         12.550, 0,      13.500, 13.500, 13.650, 13.350, 66.550
"usa_nc1", "Curran Phillips",     13.250, NA,     NA,     13.500, 15.500, 13.100, NA
"usa_nc1", "Noah Newfeld",        13.250, 13.150, 13.550, NA,     13.650, NA,     NA
"usa_nc1", "Javier Alfonso",      12.900, NA,     14.250, NA,     13.450, NA,     NA
"usa_nc1", "Crew Bold",           13.600, NA,     NA,     NA,     13.150, 13.350, NA
"usa_nc1", "Stephen Nedoroscik",  NA,     15.400, NA,     NA,     NA,     NA,     NA
"usa_nc1", "Patrick Hoopes",      NA,     14.950, NA,     NA,     NA,     NA,     NA
"usa_nc1", "Alex Diab",           NA,     NA,     14.800, NA,     NA,     NA,     NA
"usa_nc1", "Brandon Dang",        NA,     14.650, NA,     NA,     NA,     NA,     NA
