team,names,total
V178,NA,258.1
V58,NA,258.025
V177,NA,257.95
V255,NA,257.92083333333335
V530,NA,257.8875
V57,NA,257.875
V136,NA,257.8625
V228,NA,257.8625
V45,NA,257.825
V464,NA,257.8125
V135,NA,257.79583333333335
V151,NA,257.775
V254,NA,257.7708333333333
V108,NA,257.7375
V16,NA,257.725
V227,NA,257.7125
V31,NA,257.7
V44,NA,257.675
V463,NA,257.6625
V134,NA,257.6458333333333
V150,NA,257.625
V133,NA,257.6125
V3,NA,257.6
V107,NA,257.5875
V165,NA,257.5875
V529,NA,257.5833333333333
V15,NA,257.575
V502,NA,257.5625
V30,NA,257.55
V14,NA,257.5083333333333
V166,NA,257.475
V176,NA,257.47083333333336
V132,NA,257.4625
V568,NA,257.4625
V451,NA,257.4583333333333
V164,NA,257.4375
V424,NA,257.4375
V528,NA,257.43333333333334
V475,NA,257.4125
V501,NA,257.4125
V170,NA,257.4
V56,NA,257.3958333333333
V374,NA,257.3625
V361,NA,257.35
V163,NA,257.3458333333333
V152,NA,257.3375
V452,NA,257.325
V567,NA,257.3125
V226,NA,257.30833333333334
V450,NA,257.30833333333334
V283,NA,257.3
V386,NA,257.3
V188,NA,257.29583333333335
V423,NA,257.2875
V13,NA,257.275
V43,NA,257.2708333333333
V474,NA,257.2625
V8,NA,257.25
V182,NA,257.2375
V333,NA,257.2375
V50,NA,257.2375
V138,NA,257.225
V757,NA,257.225
V175,NA,257.2125
V373,NA,257.2125
V46,NA,257.2125
V2,NA,257.2
V211,NA,257.2
V456,NA,257.2
V70,NA,257.2
V295,NA,257.1875
V106,NA,257.18333333333334
V462,NA,257.18333333333334
V270,NA,257.175
V32,NA,257.175
V157,NA,257.1625
V256,NA,257.1625
V139,NA,257.15
V18,NA,257.15
V225,NA,257.15
V282,NA,257.15
V385,NA,257.15
V527,NA,257.15
V149,NA,257.1458333333333
V362,NA,257.1375
V55,NA,257.1375
V251,NA,257.1333333333333
V168,NA,257.1125
V253,NA,257.1
V91,NA,257.1
V332,NA,257.0875
V105,NA,257.075
V378,NA,257.075
V756,NA,257.075
V29,NA,257.0708333333333
V131,NA,257.05833333333334
V1769,NA,257.05833333333334
V384,NA,257.05833333333334
V210,NA,257.05
V485,NA,257.05
V69,NA,257.05
