MEET,ROUND,NAME,TEAM,FX,PH,SR,VT,PB,HB,AA,FX_D,PH_D,SR_D,VT_D,PB_D,HB_D
usa_nc1,NA,Brody Malone,USA,14,14.1,14.4,14,14.55,14.9,85.95,NA,NA,NA,NA,NA,NA
usa_nc1,NA,Fred Richard,USA,14.6,12.85,14,14.2,14.3,14.4,84.35,NA,NA,NA,NA,NA,NA
usa_nc1,NA,Donnell Whittenburg,USA,13.9,13,14.35,14.45,14.4,13.4,83.5,NA,NA,NA,NA,NA,NA
usa_nc1,NA,Colt Walker,USA,13.6,13.65,13.8,14.05,14.95,13.45,83.5,NA,NA,NA,NA,NA,NA
usa_nc1,NA,Khoi Young,USA,14.15,12.6,13.2,14.8,14.9,13.75,83.4,NA,NA,NA,NA,NA,NA
usa_nc1,NA,Shane Wiskus,USA,14.45,13.6,13.05,14.3,14.5,13.5,83.4,NA,NA,NA,NA,NA,NA
usa_nc1,NA,Paul Juda,USA,14.75,13.9,13.95,13.55,14.15,12.45,82.75,NA,NA,NA,NA,NA,NA
usa_nc1,NA,Cameron Bock,USA,13.5,14.1,13.9,13.95,13.45,13.85,82.75,NA,NA,NA,NA,NA,NA
usa_nc1,NA,Yul Moldauer,USA,14.6,12.55,14,12.65,15.4,13.25,82.45,NA,NA,NA,NA,NA,NA
usa_nc1,NA,Asher Hong,USA,13.9,11.75,14.5,14,14.75,13.35,82.25,NA,NA,NA,NA,NA,NA
usa_nc1,NA,Fuzzy Benas,USA,14,13.75,13.2,13.95,13.65,13.05,81.6,NA,NA,NA,NA,NA,NA
usa_nc1,NA,Jeremy Bischoff,USA,13.9,12.8,12.85,13.9,14.2,13.75,81.4,NA,NA,NA,NA,NA,NA
usa_nc1,NA,Riley Loos,USA,13.55,12.5,13.9,14.05,13.35,13.3,80.65,NA,NA,NA,NA,NA,NA
usa_nc1,NA,Taylor Burkhart,USA,13.5,13.5,13.85,12.75,14.3,12.75,80.65,NA,NA,NA,NA,NA,NA
usa_nc1,NA,Taylor Christopulos,USA,13.9,12.6,13.1,14.25,13.6,12.8,80.25,NA,NA,NA,NA,NA,NA
usa_nc1,NA,Kiran Mandava,USA,13.2,13.35,12.65,13.3,13.25,13.15,78.9,NA,NA,NA,NA,NA,NA
usa_nc1,NA,Joshua Karnes,USA,13,13.15,12.85,10.75,14.6,13.6,77.95,NA,NA,NA,NA,NA,NA
usa_nc1,NA,Samuel Phillips,USA,13.5,11.5,13.3,13.8,12.35,13.5,77.95,NA,NA,NA,NA,NA,NA
usa_nc1,NA,Caden Clinton,USA,13.05,11.95,13.5,12.65,13.45,13.3,77.9,NA,NA,NA,NA,NA,NA
usa_nc1,NA,Landen Blixt,USA,14,12.85,13.1,11.1,14.1,12.45,77.6,NA,NA,NA,NA,NA,NA
usa_nc1,NA,Dallas Hale,USA,12.45,13.1,11.8,14.1,14.7,11.1,77.25,NA,NA,NA,NA,NA,NA
usa_nc1,NA,Kai Uemura,USA,13.05,10.05,12.8,12.55,13.8,12.9,75.15,NA,NA,NA,NA,NA,NA
usa_nc1,NA,David Ramirez,USA,12.1,11.6,11.65,13.35,13.2,11.95,73.85,NA,NA,NA,NA,NA,NA
usa_nc1,NA,Erich Upton,USA,12.8,9.2002,11.2,14.1,13.7,12.6,73.6,NA,NA,NA,NA,NA,NA
usa_nc1,NA,Tate Costa,USA,11.8,8.9002,11.3,13.55,11.35,10.6,67.5,NA,NA,NA,NA,NA,NA
usa_nc1,NA,Ian Gunther,USA,12.55,0,13.5,13.5,13.65,13.35,66.55,NA,NA,NA,NA,NA,NA
usa_nc1,NA,Curran Phillips,USA,13.25,NA,NA,13.5,15.5,13.1,NA,NA,NA,NA,NA,NA,NA
