TEAM, NAME
"CHN", "Liu Yang"
"CHN", "Sun Wei" 
"CHN", "Xiao Ruoteng"
"CHN", "Zhang Boheng"
"CHN", "Zou Jingyuan"
"JPN", "Hashimoto Daiki"
"JPN", "Kaya Kazuma"
"JPN", "Oka Shinnosuke"
"JPN", "Sugino Takaaki"
"JPN", "Tanigawa Wataru"
"GBR", "Joe Fraser"
"GBR", "Harry Hepworth"
"GBR", "Jake Jarman"
"GBR", "Luke Whitehouse"
"GBR", "Max Whitlock"
"USA", "Asher Hong"
"USA", "Paul Juda"
"USA", "Brody Malone"
"USA", "Stephen Nedoroscik"
"USA", "Fred Richard"
"CAN", "Zachary Clay"
"CAN", "René Cournoyer"
"CAN", "Félix Dolci"
"CAN", "William Émard"
"CAN", "Samuel Zakutney"
"DEU", "Pascal Brendel"
"DEU", "Lukas Dauser"
"DEU", "Nils Dunkel"
"DEU", "Timo Eder"
"DEU", "Andreas Toba"
"ITA", "Yumin Abbadini"
"ITA", "Nicola Bartolini"
"ITA", "Lorenzo Casali"
"ITA", "Mario Macchiati"
"ITA", "Carlo Macchini"
"CHE", "Luca Giubellini"
"CHE", "Matteo Giubellini"
"CHE", "Florian Langenegger"
"CHE", "Noe Seifert"
"CHE", "Taha Serhani"
"ESP", "Néstor Abad"
"ESP", "Thierno Diallo"
"ESP", "Nicolau Mir"
"ESP", "Joel Plata"
"ESP", "Rayderley Zapata"
"TUR", "Ferhat Arican"
"TUR", "Adem Asil"
"TUR", "Ibrahim Colak"
"TUR", "Emre Dodanli"
"TUR", "Ahmet Önder"
"NLD", "Loran de Munck"
"NLD", "Martijn de Veer"
"NLD", "Jermain Grünberg"
"NLD", "Frank Rijken"
"NLD", "Casimir Schmidt"
"UKR", "Nazar Chepurnyi"
"UKR", "Illia Kovtun"
"UKR", "Igor Radivilov"
"UKR", "Radomyr Stelmakh"
"UKR", "Oleg Verniaiev"
"KAZ", "Milad Karimi" 
"ISR", "Artem Dolgopyat" 
"ARM", "Artur Davtyan" 
"HUN", "Krisztofer Meszaros" 
"KOR", "Lee Junho"
"BRA", "Diogo Soares" 
"BEL", "Luka van den Keybus" 
"ROM", "Andrei Muntean" 
"UZB", "Khabibullo Ergashev" 
"PHL", "Carlos Yulo" 
"IRE", "Rhys McClenaghan" 
"GRC", "Eleftherios Petrounias" 
"BUL", "Kevin Penev" 
"BEL", "Noah Kuavita" 
"HRV", "Tin Srbic" 
"BRA", "Arthur Mariano" 
"KOR", "Kim Hansol" 
"BEL", "Glen Cuyle" 
"KOR", "Ryu Sunghyun"
"HRV", "Aurel Benovic" 
"JOR", "Ahmad Abu Al Soud" 
"KAZ", "Nariman Kurbanov" 
"FRA", "Samir Aït Saïd" 
"ARM", "Vahagn Davtyan" 
"HKG", "Shek Wai Hung" 
"IRN", "Mahdi Olfati" 
"COL", "Angel Barajas" 
"UZB", "Rasuljon Abdurakhimov" 
"TWN", "Tang Chia-Hung" 
"LIT", "Robert Tvorogal" 
"DOM", "Audrys Nin Reyes"
"CYP", "Marios Georgiou" 
"EGY", "Omar Mohamed" 
"UZB", "Abdulla Azimov" 
"AUS", "Jesse Moore" 
"SYR", "Lais Najjar" 
