MEET,ROUND,NAME,TEAM,FX,PH,SR,VT,PB,HB,AA,FX_D,PH_D,SR_D,VT_D,PB_D,HB_D
antalya_cup,F,Illia Kovtun,UKR,14.4,NA,NA,NA,15.35,NA,NA,5.9,NA,NA,NA,6.9,NA
antalya_cup,F,Ilyas Azizov,KAZ,14.2,NA,NA,NA,NA,NA,NA,5.8,NA,NA,NA,NA,NA
antalya_cup,F,Kevin Penev,BGR,13.95,NA,13.25,14.4,NA,NA,NA,6.1,NA,5,5.4,NA,NA
antalya_cup,F,Enkhtuvshin Damdindorj,MNG,13.8,NA,NA,13.95,NA,NA,NA,5.5,NA,NA,4.8,NA,NA
antalya_cup,F,Usukhbayar Erkhembayar,MNG,13.55,NA,NA,NA,NA,NA,NA,5.6,NA,NA,NA,NA,NA
antalya_cup,F,Krisztofer Meszaros,HUN,13.55,NA,NA,NA,12.65,NA,NA,6.3,NA,NA,NA,5.9,NA
antalya_cup,F,Aurel Benovic,HRV,13.55,NA,NA,14.85,NA,NA,NA,6.3,NA,NA,5.6,NA,NA
antalya_cup,F,Cameron Lynn,GBR,13.4,NA,NA,NA,14,13.45,NA,5.6,NA,NA,NA,5.5,5.4
antalya_cup,F,Ilyas Azizov,KAZ,NA,14.6,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA,NA
antalya_cup,F,Filip Ude,HRV,NA,14.3,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA,NA
antalya_cup,F,Marko Sambolec,HRV,NA,14,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA
antalya_cup,F,Unai Baigorri,ESP,NA,13.65,NA,14.55,NA,NA,NA,NA,5.1,NA,5.2,NA,NA
antalya_cup,F,Adam Tobin,GBR,NA,13.6,NA,NA,13.7,13.5,NA,NA,5.8,NA,NA,5.5,5.5
antalya_cup,F,Ahmet Burak Ekici,TUR,NA,12.5,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA
antalya_cup,F,Kevin Buckley,SVN,NA,11.85,13,NA,NA,NA,NA,NA,4.1,4.3,NA,NA,NA
antalya_cup,F,Adam Steele,IRL,NA,8.4,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA
antalya_cup,F,Pau Jimenez,ESP,NA,NA,12.95,14.7,NA,NA,NA,NA,NA,4.9,5.2,NA,NA
antalya_cup,F,Balazs Kiss,HUN,NA,NA,12.9,NA,NA,13.35,NA,NA,NA,5.1,NA,NA,4.9
antalya_cup,F,Yunus Gündogdu,TUR,NA,NA,12.85,NA,NA,NA,NA,NA,NA,5.8,NA,NA,NA
antalya_cup,F,Jermain Grünberg,NLD,NA,NA,12.45,NA,NA,NA,NA,NA,NA,4.3,NA,NA,NA
antalya_cup,F,Roman Mamenov,KAZ,NA,NA,12.3,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA
antalya_cup,F,Szilard Zavory,HUN,NA,NA,12.2,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA
antalya_cup,F,Daniel Trifonov,BGR,NA,NA,NA,14.3,NA,NA,NA,NA,NA,NA,4.8,NA,NA
antalya_cup,F,Dusan Djordjevic,SRB,NA,NA,NA,14.05,NA,NA,NA,NA,NA,NA,5.2,NA,NA
antalya_cup,F,Luca Giubellini,CHE,NA,NA,NA,13.75,NA,NA,NA,NA,NA,NA,5.6,NA,NA
antalya_cup,F,Lukas Dauser,DEU,NA,NA,NA,NA,15.55,NA,NA,NA,NA,NA,NA,6.7,NA
antalya_cup,F,Noe Seifert,CHE,NA,NA,NA,NA,14.6,NA,NA,NA,NA,NA,NA,6.3,NA
antalya_cup,F,Daniel Carrion,ESP,NA,NA,NA,NA,13.75,13.15,NA,NA,NA,NA,NA,5.3,5
antalya_cup,F,Sercan Demir,TUR,NA,NA,NA,NA,13.5,NA,NA,NA,NA,NA,NA,5.9,NA
antalya_cup,F,Tang Chia-Hung,TWN,NA,NA,NA,NA,NA,15.35,NA,NA,NA,NA,NA,NA,6.5
antalya_cup,F,Tin Srbic,HRV,NA,NA,NA,NA,NA,14.65,NA,NA,NA,NA,NA,NA,6.1
antalya_cup,F,Alexander Myakinin,ISR,NA,NA,NA,NA,NA,14.5,NA,NA,NA,NA,NA,NA,5.9
antalya_cup,F,Taha Serhani,CHE,NA,NA,NA,NA,NA,13.4,NA,NA,NA,NA,NA,NA,5.5
antalya_cup,Q,Aurel Benovic,HRV,14.15,NA,NA,14.8,NA,NA,NA,6.3,NA,NA,5.6,NA,NA
antalya_cup,Q,Krisztofer Meszaros,HUN,14.05,13.45,NA,NA,14.7,12.95,NA,6.3,5.8,NA,NA,6.2,5.1
antalya_cup,Q,Illia Kovtun,UKR,13.85,13.1,NA,14.45,14.65,12.05,NA,5.9,6.4,NA,5.6,7,5.5
antalya_cup,Q,Enkhtuvshin Damdindorj,MNG,13.7,13.2,NA,13.95,NA,10.45,NA,5.5,5.7,NA,4.8,NA,3.7
antalya_cup,Q,Usukhbayar Erkhembayar,MNG,13.5,NA,NA,13.45,NA,NA,NA,5.6,NA,NA,4.8,NA,NA
antalya_cup,Q,Ilyas Azizov,KAZ,13.45,14.65,NA,NA,NA,13.1,NA,5.8,5.9,NA,NA,NA,4.7
antalya_cup,Q,Kevin Penev,BGR,13.4,13.2,12.8,14.15,NA,12.8,NA,6.1,5.6,5,5.2,NA,4.9
antalya_cup,Q,Cameron Lynn,GBR,13.35,13.5,NA,NA,14,13.3,NA,5.6,5.7,NA,NA,5.5,5.4
antalya_cup,Q,Anze Hribar,SVN,13.35,NA,NA,NA,NA,NA,NA,5.7,NA,NA,NA,NA,NA
antalya_cup,Q,Taha Serhani,CHE,13.3,NA,NA,NA,13.95,13.95,NA,5.5,NA,NA,NA,5.6,5.9
antalya_cup,Q,Pau Jimenez,ESP,13.25,NA,13.05,14.25,NA,NA,NA,5.4,NA,4.9,5.2,NA,NA
antalya_cup,Q,Adam Tobin,GBR,13.1,14.1,NA,NA,14.05,13.35,NA,5.5,5.8,NA,NA,5.5,5.4
antalya_cup,Q,Pascal Brendel,DEU,12.95,12.3,NA,NA,14,12.15,NA,5.9,5.3,NA,NA,5.8,4.8
antalya_cup,Q,Unai Baigorri,ESP,12.8,13.7,NA,14.25,NA,NA,NA,4.9,5.1,NA,5.2,NA,NA
antalya_cup,Q,Dusan Djordjevic,SRB,12.8,NA,NA,NA,NA,NA,NA,5.4,NA,NA,NA,NA,NA
antalya_cup,Q,Adam Steele,IRL,12.8,13.75,NA,NA,13.55,12.9,NA,5.5,5.3,NA,NA,5.2,4.5
