MEET,ROUND,NAME,TEAM,FX,PH,SR,VT,PB,HB,AA,FX_D,PH_D,SR_D,VT_D,PB_D,HB_D
antalya_friendly,All-Around Results,Adem Asil,TUR,14.2,13.5,14.6,14.7,13.8,14.05,84.85,NA,NA,NA,NA,NA,NA
antalya_friendly,All-Around Results,Joel Plata,ESP,13.7,13.4,13.7,13.15,14.15,13.6,81.7,NA,NA,NA,NA,NA,NA
antalya_friendly,All-Around Results,Nestor Abad,ESP,13.2,13.15,14.1,13.45,14,13.3,81.2,NA,NA,NA,NA,NA,NA
antalya_friendly,All-Around Results,Benedek Tomcsanyi,HUN,13.5,13.95,13.25,13.15,13.4,12.85,80.1,NA,NA,NA,NA,NA,NA
antalya_friendly,All-Around Results,Kerem Sener,TUR,13.5,12.6,13.5,14.3,13.8,12.05,79.75,NA,NA,NA,NA,NA,NA
antalya_friendly,All-Around Results,Thierno Diallo,ESP,13.75,14.1,13.2,13.45,13.05,12.1,79.65,NA,NA,NA,NA,NA,NA
antalya_friendly,All-Around Results,Adria Vera,ESP,14.05,11.7,13.5,14,12.95,12.75,78.95,NA,NA,NA,NA,NA,NA
antalya_friendly,All-Around Results,Niccolò Vannucchi,ITA,14.2,11.3,12.6,14.15,12.9,13.65,78.8,NA,NA,NA,NA,NA,NA
antalya_friendly,All-Around Results,Lorenzo Bonicelli,ITA,13.35,11.15,13.15,13.2,13.7,13.5,78.05,NA,NA,NA,NA,NA,NA
antalya_friendly,All-Around Results,Lay Giannini,ITA,14.2,11.95,12.75,13.25,12.85,12.95,77.95,NA,NA,NA,NA,NA,NA
antalya_friendly,All-Around Results,Mehmet Ayberk Kosak,TUR,14.05,12.7,14.3,13.45,11.95,11.45,77.9,NA,NA,NA,NA,NA,NA
antalya_friendly,All-Around Results,Nicolau Mir,ESP,14.1,11.8,13.05,12.8,12.8,13.15,77.7,NA,NA,NA,NA,NA,NA
antalya_friendly,All-Around Results,Mert Efe Kilicer,TUR,13.6,11.2,12.95,13.5,12.65,13.5,77.4,NA,NA,NA,NA,NA,NA
antalya_friendly,All-Around Results,Yunus Gündogdu,TUR,13.3,10.9,13.95,13.4,13.2,11.75,76.5,NA,NA,NA,NA,NA,NA
antalya_friendly,All-Around Results,Krisztian Balazs,HUN,9.45,12.8,13.05,13.25,14,13.95,76.5,NA,NA,NA,NA,NA,NA
antalya_friendly,All-Around Results,Sercan Demir,TUR,13.4,10.45,13.25,13.05,12.9,13.3,76.35,NA,NA,NA,NA,NA,NA
antalya_friendly,All-Around Results,Balazs Kiss,HUN,9.6,13.5,13.35,12.75,11.65,13.4,74.25,NA,NA,NA,NA,NA,NA
antalya_friendly,All-Around Results,Szilard Zavory,HUN,12.35,11.1,13.55,13.35,12.15,11.45,73.95,NA,NA,NA,NA,NA,NA
antalya_friendly,All-Around Results,Ahmet Önder,TUR,14.15,NA,NA,14.3,12.2,13.15,53.8,NA,NA,NA,NA,NA,NA
antalya_friendly,All-Around Results,Ibrahim Colak,TUR,NA,NA,14.85,NA,13.45,12.1,40.4,NA,NA,NA,NA,NA,NA
antalya_friendly,All-Around Results,Salvatore Maresca,ITA,NA,NA,14.45,12.8,NA,NA,27.25,NA,NA,NA,NA,NA,NA
antalya_friendly,All-Around Results,Carlo Macchini,ITA,NA,13.5,NA,NA,NA,13.55,27.05,NA,NA,NA,NA,NA,NA
