MEET,ROUND,NAME,TEAM,FX,PH,SR,VT,PB,HB,AA,FX_D,PH_D,SR_D,VT_D,PB_D,HB_D
asian_games,All-Around Results,Carlos Yulo,PHL,15.233,12.866,14.033,15.433,14.233,13.5,85.298,NA,NA,NA,NA,NA,NA
asian_games,All-Around Results,Milad Karimi,KAZ,14.7,13.6,13.266,14.6,13.933,14.533,84.632,NA,NA,NA,NA,NA,NA
asian_games,All-Around Results,Abdulla Azimov,UZB,13.733,14.566,12.766,14.033,13.933,13.4,82.431,NA,NA,NA,NA,NA,NA
asian_games,All-Around Results,Yin Dehang,CHN,13.766,13.866,13.866,13.533,14.266,12.766,82.063,NA,NA,NA,NA,NA,NA
asian_games,All-Around Results,Utkirbek Juraev,UZB,14.133,13.3,12.733,14,14.1,13.633,81.899,NA,NA,NA,NA,NA,NA
asian_games,All-Around Results,Tian Hao,CHN,12.466,13.833,13.133,14.333,13.1,14.633,81.498,NA,NA,NA,NA,NA,NA
asian_games,All-Around Results,Park Seungho,KOR,13.133,13,13.333,14.066,13.466,13.7,80.698,NA,NA,NA,NA,NA,NA
asian_games,All-Around Results,Kim Jaeho,KOR,13.466,13.033,12.933,14.166,13.5,13.433,80.531,NA,NA,NA,NA,NA,NA
asian_games,All-Around Results,Moon Geonyong,KOR,13.9,11.666,13.166,14.566,12.966,13.8,80.064,NA,NA,NA,NA,NA,NA
asian_games,All-Around Results,Dmitriy Patanin,KAZ,14.266,11.5,13.2,14.2,13.266,13.166,79.598,NA,NA,NA,NA,NA,NA
asian_games,All-Around Results,Shiao Yu-Jan,TWN,13.666,13,12.666,13.966,12.633,12.933,78.864,NA,NA,NA,NA,NA,NA
asian_games,All-Around Results,Chuang Chia-Lung,TWN,13.2,12.3,12.833,13.866,12.466,13,77.665,NA,NA,NA,NA,NA,NA
asian_games,All-Around Results,Lin Guan-Yi,TWN,13.566,12.033,14.266,13.333,12.466,11.966,77.63,NA,NA,NA,NA,NA,NA
asian_games,All-Around Results,Van Vi Luong,VNM,13.6,12.333,13,13.766,13.666,11.2,77.565,NA,NA,NA,NA,NA,NA
asian_games,All-Around Results,Lee Chih-Kai,TWN,13.8,13.3,12.866,13.1,12.233,12.233,77.532,NA,NA,NA,NA,NA,NA
asian_games,All-Around Results,Mohammadreza Khosronezhad,IRN,12.833,10.8,13.5,13.066,13.566,12.333,76.098,NA,NA,NA,NA,NA,NA
asian_games,All-Around Results,Miguel Besana,PHL,13.033,11.166,12.566,14.6,12.466,12.066,75.897,NA,NA,NA,NA,NA,NA
asian_games,All-Around Results,Hooman Jafari,IRN,13.133,12.066,12.433,13.4,11.4,12.8,75.232,NA,NA,NA,NA,NA,NA
asian_games,All-Around Results,Erkhembayar Usukhbayar,MNG,14.1,10.966,12.233,13.7,12.333,11.866,75.198,NA,NA,NA,NA,NA,NA
asian_games,All-Around Results,Seyedmohammad Shafiei,IRN,12.8,12.9,12.1,12.766,11.466,12.833,74.865,NA,NA,NA,NA,NA,NA
asian_games,All-Around Results,Lais Najjar,SYR,13.8,12.566,10.8,12.7,12.866,12.133,74.865,NA,NA,NA,NA,NA,NA
asian_games,All-Around Results,Choe Wi Song,PRK,12.6,11.533,11.266,13.833,12.133,13.133,74.498,NA,NA,NA,NA,NA,NA
asian_games,All-Around Results,Yogeshwar Singh,IND,12.866,9.2,12.6,13.566,12.266,13.4,73.898,NA,NA,NA,NA,NA,NA
asian_games,All-Around Results,Enkhtuvshin Damdindorj,MNG,13.233,11.233,12.166,13.9,11.366,11.3,73.198,NA,NA,NA,NA,NA,NA
asian_games,All-Around Results,Nguyen Van Khanh Phong,VNM,12.466,11.633,14.566,12.933,11.8,8.8,72.198,NA,NA,NA,NA,NA,NA
asian_games,All-Around Results,Gaurav Kumar,IND,12.6,9.3,10.1,12.733,13.133,12.3,70.166,NA,NA,NA,NA,NA,NA
asian_games,All-Around Results,Nadila Nethviru,LKA,11.5,11.3,11.933,13.566,11.066,10.366,69.731,NA,NA,NA,NA,NA,NA
asian_games,All-Around Results,Jaydon Attygalle,LKA,12.2,10.2,11.066,13.4,11.033,11.1,68.999,NA,NA,NA,NA,NA,NA
asian_games,All-Around Results,Weerapat Chuaisom,THA,12.733,9.1,11.433,12.433,10.766,11.033,67.498,NA,NA,NA,NA,NA,NA
asian_games,All-Around Results,Suphacheep Baobenmad,THA,11.766,8.033,11.3,13.3,10.633,12.4,67.432,NA,NA,NA,NA,NA,NA
