MEET,ROUND,NAME,TEAM,FX,PH,SR,VT,PB,HB,AA,FX_D,PH_D,SR_D,VT_D,PB_D,HB_D
baku_cup,Floor Final Results,Yahor Sharamkou,BLR,14.933,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA,NA
baku_cup,Floor Final Results,Minami Kazuki,JPN,14.666,NA,NA,NA,NA,NA,NA,6.2,NA,NA,NA,NA,NA
baku_cup,Floor Final Results,Carlos Yulo,PHL,14.366,NA,NA,NA,NA,NA,NA,6.3,NA,NA,NA,NA,NA
baku_cup,Floor Final Results,Eddie Penev,BGR,14.166,NA,NA,NA,NA,NA,NA,5.8,NA,NA,NA,NA,NA
baku_cup,Floor Final Results,Ryu Sunghyun,KOR,14.133,NA,NA,NA,NA,NA,NA,6.1,NA,NA,NA,NA,NA
baku_cup,Floor Final Results,Yuri Guimarães,BRA,13.9,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA,NA,NA
baku_cup,Floor Final Results,Aurel Benovic,HRV,13.833,NA,NA,NA,NA,NA,NA,6.1,NA,NA,NA,NA,NA
baku_cup,Floor Final Results,Illia Kovtun,UKR,13.366,NA,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA
baku_cup,Pommels Final Results,Lee Chih-Kai,TWN,NA,15.4,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA
baku_cup,Pommels Final Results,Stephen Nedoroscik,USA,NA,15.4,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA
baku_cup,Pommels Final Results,Shiao Yu-Jan,TWN,NA,15.3,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA
baku_cup,Pommels Final Results,Nariman Kurbanov,KAZ,NA,15.133,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA
baku_cup,Pommels Final Results,Ahmad Abu Al Soud,JOR,NA,15,NA,NA,NA,NA,NA,NA,6.6,NA,NA,NA,NA
baku_cup,Pommels Final Results,Patrick Hoopes,USA,NA,14.9,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA
baku_cup,Pommels Final Results,Matvei Petrov,ALB,NA,14.7,NA,NA,NA,NA,NA,NA,6.3,NA,NA,NA,NA
baku_cup,Pommels Final Results,Benjamin Osberger,FRA,NA,14.266,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA
baku_cup,Rings Final Results,You Hao,CHN,NA,NA,14.9,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA
baku_cup,Rings Final Results,Zou Jingyuan,CHN,NA,NA,14.866,NA,NA,NA,NA,NA,NA,6.3,NA,NA,NA
baku_cup,Rings Final Results,Samir Aït Saïd,FRA,NA,NA,14.633,NA,NA,NA,NA,NA,NA,6.1,NA,NA,NA
baku_cup,Rings Final Results,Salvatore Maresca,ITA,NA,NA,14.533,NA,NA,NA,NA,NA,NA,6.2,NA,NA,NA
baku_cup,Rings Final Results,Omar Mohamed,EGY,NA,NA,14.3,NA,NA,NA,NA,NA,NA,5.7,NA,NA,NA
baku_cup,Rings Final Results,Harry Hepworth,GBR,NA,NA,14.266,NA,NA,NA,NA,NA,NA,5.8,NA,NA,NA
baku_cup,Rings Final Results,Lin Guan-Yi,TWN,NA,NA,14.2,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA
baku_cup,Rings Final Results,Igor Radivilov,UKR,NA,NA,13.166,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
baku_cup,Vault Final Results,Nazar Chepurnyi,UKR,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,5.6,NA,NA
baku_cup,Vault Final Results,Shek Wai Hung,HKG,NA,NA,NA,14.966,NA,NA,NA,NA,NA,NA,6,NA,NA
baku_cup,Vault Final Results,Harry Hepworth,GBR,NA,NA,NA,14.933,NA,NA,NA,NA,NA,NA,5.6,NA,NA
baku_cup,Vault Final Results,Tseng Wei-Sheng,TWN,NA,NA,NA,14.866,NA,NA,NA,NA,NA,NA,5.6,NA,NA
baku_cup,Vault Final Results,Aurel Benovic,HRV,NA,NA,NA,14.833,NA,NA,NA,NA,NA,NA,5.6,NA,NA
baku_cup,Vault Final Results,Joona Reiman,FIN,NA,NA,NA,14.666,NA,NA,NA,NA,NA,NA,5.6,NA,NA
baku_cup,Vault Final Results,Dominick Cunningham,IRL,NA,NA,NA,14.533,NA,NA,NA,NA,NA,NA,5.2,NA,NA
baku_cup,Vault Final Results,Muhammad Sharul Aimy,MYS,NA,NA,NA,14.466,NA,NA,NA,NA,NA,NA,5.2,NA,NA
baku_cup,P-Bars Final Results,Illia Kovtun,UKR,NA,NA,NA,NA,14.9,NA,NA,NA,NA,NA,NA,6.7,NA
baku_cup,P-Bars Final Results,Zou Jingyuan,CHN,NA,NA,NA,NA,14.9,NA,NA,NA,NA,NA,NA,6.8,NA
baku_cup,P-Bars Final Results,Angel Barajas,COL,NA,NA,NA,NA,14.7,NA,NA,NA,NA,NA,NA,6.7,NA
baku_cup,P-Bars Final Results,Matsumi Kazuki,JPN,NA,NA,NA,NA,14.566,NA,NA,NA,NA,NA,NA,6,NA
baku_cup,P-Bars Final Results,Oleg Verniaiev,UKR,NA,NA,NA,NA,14.566,NA,NA,NA,NA,NA,NA,6.6,NA
baku_cup,P-Bars Final Results,Mohamed Afify,EGY,NA,NA,NA,NA,14.5,NA,NA,NA,NA,NA,NA,6,NA
baku_cup,P-Bars Final Results,Jossimar Calvo,COL,NA,NA,NA,NA,13.733,NA,NA,NA,NA,NA,NA,6.5,NA
baku_cup,P-Bars Final Results,Harald Wibye,NOR,NA,NA,NA,NA,12.9,NA,NA,NA,NA,NA,NA,5.6,NA
baku_cup,High Bar Final Results,Robert Tvorogal,LTU,NA,NA,NA,NA,NA,14.333,NA,NA,NA,NA,NA,NA,5.5
baku_cup,High Bar Final Results,Arthur Mariano,BRA,NA,NA,NA,NA,NA,14.333,NA,NA,NA,NA,NA,NA,5.8
