MEET,ROUND,NAME,TEAM,FX,PH,SR,VT,PB,HB,AA,FX_D,PH_D,SR_D,VT_D,PB_D,HB_D
british_champs,Senior All-Around Results,Joe Fraser,GBR,13.8,14.45,13.65,14.15,14.6,14.25,84.9,NA,NA,NA,NA,NA,NA
british_champs,Senior All-Around Results,Jake Jarman,GBR,14.6,14.4,12.75,14.05,14.65,13.9,84.35,NA,NA,NA,NA,NA,NA
british_champs,Senior All-Around Results,Courtney Tulloch,GBR,13.4,12.5,14.3,14.2,13.75,12,80.15,NA,NA,NA,NA,NA,NA
british_champs,Senior All-Around Results,Reuben Ward,GBR,13.1,14.05,12.75,13.75,13.3,13,79.95,NA,NA,NA,NA,NA,NA
british_champs,Senior All-Around Results,Adam Tobin,GBR,13.4,11.3,12.1,14.65,13.95,12.75,78.15,NA,NA,NA,NA,NA,NA
british_champs,Senior All-Around Results,Luke Whitehouse,GBR,12.7,11.55,13.65,13.95,12.7,12.95,77.5,NA,NA,NA,NA,NA,NA
british_champs,Senior All-Around Results,Cameron Lynn,GBR,13.3,13.15,12.75,12.5,13.25,12.5,77.45,NA,NA,NA,NA,NA,NA
british_champs,Senior All-Around Results,Oakley Banks,GBR,13.2,11.35,12.75,14.15,13,12.2,76.65,NA,NA,NA,NA,NA,NA
british_champs,Senior All-Around Results,Joe Cemlyn-Jones,GBR,10.45,12.05,13.55,12.8,14.05,13.05,75.95,NA,NA,NA,NA,NA,NA
british_champs,Senior All-Around Results,Patrick Watkinson,GBR,12.6,13.95,11.75,13.2,11.35,13.1,75.95,NA,NA,NA,NA,NA,NA
british_champs,Senior All-Around Results,Remell Robinson-Bailey,GBR,13.2,9.55,13,14.15,12.45,12.8,75.15,NA,NA,NA,NA,NA,NA
british_champs,Senior All-Around Results,Sam Mostowfi,GBR,13.65,10.15,12.35,14.6,12.65,11.55,74.95,NA,NA,NA,NA,NA,NA
british_champs,Senior All-Around Results,Jacob Edwards,GBR,13.2,10.85,12.45,13.3,12.25,12.45,74.5,NA,NA,NA,NA,NA,NA
british_champs,Senior All-Around Results,Hamish Carter,GBR,12.15,10.65,12.45,13.15,13.25,12.3,73.95,NA,NA,NA,NA,NA,NA
british_champs,Senior All-Around Results,Charlie Harvey-Lloyd,GBR,11.15,10.5,12.35,13.2,12.8,13.2,73.2,NA,NA,NA,NA,NA,NA
british_champs,Senior All-Around Results,Euan McLellan,GBR,12.3,10.35,12.6,12.6,12.55,12.55,72.95,NA,NA,NA,NA,NA,NA
british_champs,Senior All-Around Results,Ryan Cirino,GBR,12.6,11.55,12.5,13.35,12.1,10.7,72.8,NA,NA,NA,NA,NA,NA
