MEET,ROUND,NAME,TEAM,FX,PH,SR,VT,PB,HB,AA,FX_D,PH_D,SR_D,VT_D,PB_D,HB_D
cairo_cup,Floor Final Results,NA,KOR,14.066,NA,NA,NA,NA,NA,NA,6.1,NA,NA,NA,NA,NA
cairo_cup,Floor Final Results,NA,CUB,13.9,NA,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA
cairo_cup,Floor Final Results,NA,BGR,13.8,NA,NA,NA,NA,NA,NA,5.8,NA,NA,NA,NA,NA
cairo_cup,Floor Final Results,NA,KAZ,13.7,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA,NA,NA
cairo_cup,Floor Final Results,NA,FRA,13.633,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA,NA,NA
cairo_cup,Floor Final Results,NA,AUS,13.2,NA,NA,NA,NA,NA,NA,5.6,NA,NA,NA,NA,NA
cairo_cup,Pommels Final Results,NA,JOR,NA,15.066,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA
cairo_cup,Pommels Final Results,NA,KOR,NA,14.933,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA
cairo_cup,Pommels Final Results,NA,KAZ,NA,14.8,NA,NA,NA,NA,NA,NA,6.6,NA,NA,NA,NA
cairo_cup,Pommels Final Results,NA,FRA,NA,14.4,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA,NA
cairo_cup,Pommels Final Results,NA,HRV,NA,13.466,NA,NA,NA,NA,NA,NA,5.8,NA,NA,NA,NA
cairo_cup,Pommels Final Results,NA,GBR,NA,13.466,NA,NA,NA,NA,NA,NA,6.1,NA,NA,NA,NA
cairo_cup,Pommels Final Results,NA,UKR,NA,13.333,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA,NA
cairo_cup,Rings Final Results,NA,PRK,NA,NA,14.6,NA,NA,NA,NA,NA,NA,6.2,NA,NA,NA
cairo_cup,Rings Final Results,NA,ARM,NA,NA,14.5,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
cairo_cup,Rings Final Results,NA,ITA,NA,NA,14.5,NA,NA,NA,NA,NA,NA,6.2,NA,NA,NA
cairo_cup,Rings Final Results,NA,FRA,NA,NA,14.433,NA,NA,NA,NA,NA,NA,6.1,NA,NA,NA
cairo_cup,Rings Final Results,NA,AZE,NA,NA,14.433,NA,NA,NA,NA,NA,NA,6.2,NA,NA,NA
cairo_cup,Rings Final Results,NA,ARG,NA,NA,14.2,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
cairo_cup,Rings Final Results,NA,GBR,NA,NA,12.166,NA,NA,NA,NA,NA,NA,6.2,NA,NA,NA
cairo_cup,Vault Final Results,NA,ARM,NA,NA,NA,15.033,NA,NA,NA,NA,NA,NA,5.6,NA,NA
cairo_cup,Vault Final Results,NA,UKR,NA,NA,NA,14.966,NA,NA,NA,NA,NA,NA,5.6,NA,NA
cairo_cup,Vault Final Results,NA,HKG,NA,NA,NA,14.833,NA,NA,NA,NA,NA,NA,6,NA,NA
cairo_cup,Vault Final Results,NA,NOR,NA,NA,NA,14.466,NA,NA,NA,NA,NA,NA,5.6,NA,NA
cairo_cup,Vault Final Results,NA,IRN,NA,NA,NA,14.933,NA,NA,NA,NA,NA,NA,5.6,NA,NA
cairo_cup,Vault Final Results,NA,VNM,NA,NA,NA,14.433,NA,NA,NA,NA,NA,NA,5.6,NA,NA
cairo_cup,Vault Final Results,NA,AUS,NA,NA,NA,14.1,NA,NA,NA,NA,NA,NA,5.6,NA,NA
cairo_cup,Vault Final Results,NA,BGR,NA,NA,NA,13.2,NA,NA,NA,NA,NA,NA,5.2,NA,NA
cairo_cup,P-Bars Final Results,NA,UKR,NA,NA,NA,NA,15.6,NA,NA,NA,NA,NA,NA,6.7,NA
cairo_cup,P-Bars Final Results,NA,COL,NA,NA,NA,NA,15.1,NA,NA,NA,NA,NA,NA,6.7,NA
