MEET,ROUND,NAME,TEAM,FX,PH,SR,VT,PB,HB,AA,FX_D,PH_D,SR_D,VT_D,PB_D,HB_D
canada_champs,Senior All-Around Results,Félix Dolci,Quebec,14.5,12.866,13.9,14.45,14.4,14.4,84.516,NA,NA,NA,NA,NA,NA
canada_champs,Senior All-Around Results,Félix Dolci,Quebec,14.5,11.966,13.8,14.9,14.366,14.233,83.765,NA,NA,NA,NA,NA,NA
canada_champs,Senior All-Around Results,René Cournoyer,Quebec,14.3,13.033,14.033,13.7,13.466,14.4,82.932,NA,NA,NA,NA,NA,NA
canada_champs,Senior All-Around Results,René Cournoyer,Quebec,14.1,12.933,14.266,14.55,14.433,14.066,84.348,NA,NA,NA,NA,NA,NA
canada_champs,Senior All-Around Results,William Emard,Quebec,14,12.166,13.966,13.95,13.266,13.5,80.848,NA,NA,NA,NA,NA,NA
canada_champs,Senior All-Around Results,William Emard,Quebec,14.8,12.066,14.2,14.45,13.733,13.7,82.949,NA,NA,NA,NA,NA,NA
canada_champs,Senior All-Around Results,Samuel Zakutney,Quebec,12.3,12.933,13.433,13.85,14.166,13.666,80.348,NA,NA,NA,NA,NA,NA
canada_champs,Senior All-Around Results,Samuel Zakutney,Quebec,13.5,13.266,13.533,13.8,14.566,14.433,83.098,NA,NA,NA,NA,NA,NA
canada_champs,Senior All-Around Results,Ioannis Chronopoulos,Ontario,13.25,13.366,12.3,14.2,13.633,13.2,79.949,NA,NA,NA,NA,NA,NA
canada_champs,Senior All-Around Results,Ioannis Chronopoulos,Ontario,13.55,12.9,13.266,14.15,14.066,13.166,81.098,NA,NA,NA,NA,NA,NA
canada_champs,Senior All-Around Results,Evgeny Siminiuc,Ontario,12.45,12.466,13.433,13.15,13.733,13.866,79.098,NA,NA,NA,NA,NA,NA
canada_champs,Senior All-Around Results,Evgeny Siminiuc,Ontario,12.95,12.666,13.433,13.8,14.233,14.233,81.315,NA,NA,NA,NA,NA,NA
canada_champs,Senior All-Around Results,Zachary Clay,British Columbia,13.2,12.8,13.2,13.95,12.833,13.3,79.283,NA,NA,NA,NA,NA,NA
canada_champs,Senior All-Around Results,Zachary Clay,British Columbia,12.55,13.966,13.033,13.9,12.866,13.5,79.815,NA,NA,NA,NA,NA,NA
canada_champs,Senior All-Around Results,Kenji Tamane,Quebec,13.45,12.733,12.866,13.4,13.066,13.1,78.615,NA,NA,NA,NA,NA,NA
canada_champs,Senior All-Around Results,Kenji Tamane,Quebec,13.7,11.466,12.7,13.45,13.2,12.233,76.749,NA,NA,NA,NA,NA,NA
canada_champs,Senior All-Around Results,Noah Royer,Saskatchewan,12.95,12.066,12.6,13.25,12.866,13.333,77.065,NA,NA,NA,NA,NA,NA
canada_champs,Senior All-Around Results,Noah Royer,Saskatchewan,12.9,12.166,12.6,13.2,12.633,13.566,77.065,NA,NA,NA,NA,NA,NA
canada_champs,Senior All-Around Results,Addyson Cheladyn,Quebec,12,11.833,12.1,13.5,12.9,13.166,75.499,NA,NA,NA,NA,NA,NA
canada_champs,Senior All-Around Results,Addyson Cheladyn,Quebec,11.95,12.766,12.266,13.4,13.066,13.566,77.014,NA,NA,NA,NA,NA,NA
canada_champs,Senior All-Around Results,Dorian Doan,Ontario,13,12.633,10.833,14.5,13.5,10.233,74.699,NA,NA,NA,NA,NA,NA
canada_champs,Senior All-Around Results,Dorian Doan,Ontario,12.3,12.8,12.9,13.65,12.866,13.1,77.616,NA,NA,NA,NA,NA,NA
canada_champs,Senior All-Around Results,Benoit Tremblay,Quebec,12.35,12.3,11.333,12.65,12.7,12.5,73.833,NA,NA,NA,NA,NA,NA
canada_champs,Senior All-Around Results,Benoit Tremblay,Quebec,12.5,12.466,12.966,12.75,12.833,12.933,76.448,NA,NA,NA,NA,NA,NA
canada_champs,Senior All-Around Results,William Black,Nova Scotia,13.45,8.766,12.4,13.65,12.6,11.866,72.732,NA,NA,NA,NA,NA,NA
canada_champs,Senior All-Around Results,William Black,Nova Scotia,13.1,10.8,11.833,13.45,12.533,11.833,73.549,NA,NA,NA,NA,NA,NA
canada_champs,Senior All-Around Results,Evan Fedder,Nova Scotia,12.6,11.333,12.833,13.25,12.266,12.3,74.582,NA,NA,NA,NA,NA,NA
canada_champs,Senior All-Around Results,Evan Fedder,Nova Scotia,13.35,7.266,12.966,13.45,11.933,12.5,71.465,NA,NA,NA,NA,NA,NA
canada_champs,Senior All-Around Results,Pier-Olivier Julien,Quebec,12.5,11.466,12.433,12.95,12,12,73.349,NA,NA,NA,NA,NA,NA
canada_champs,Senior All-Around Results,Pier-Olivier Julien,Quebec,13.2,10,12.233,12.65,12.133,11.666,71.882,NA,NA,NA,NA,NA,NA
canada_champs,Senior All-Around Results,Thomas Gautreau,New Brunswick,11.7,11.8,11.466,12.55,12.866,12.3,72.682,NA,NA,NA,NA,NA,NA
canada_champs,Senior All-Around Results,Thomas Gautreau,New Brunswick,11.05,11.8,10.766,12.5,13.1,12.3,71.516,NA,NA,NA,NA,NA,NA
canada_champs,Senior All-Around Results,Benjamin Talbot,New Brunswick,11.35,10.866,11.733,12.85,12.3,11.933,71.032,NA,NA,NA,NA,NA,NA
canada_champs,Senior All-Around Results,Benjamin Talbot,New Brunswick,11.8,10.466,11.366,13.1,12.566,12.033,71.331,NA,NA,NA,NA,NA,NA
canada_champs,Senior All-Around Results,Ashton Kotlar,Saskatchewan,11.85,11.633,7.866,13.8,12.666,9.466,67.281,NA,NA,NA,NA,NA,NA
canada_champs,Senior All-Around Results,Ashton Kotlar,Saskatchewan,11.05,11.733,7.7,13.55,13.2,12.9,70.133,NA,NA,NA,NA,NA,NA
