MEET,ROUND,NAME,TEAM,FX,PH,SR,VT,PB,HB,AA,FX_D,PH_D,SR_D,VT_D,PB_D,HB_D
china_champs,All-Around Final Results,Shi Cong,CHN,13.2,14.25,14.3,13.8,14.85,14.65,85.05,NA,NA,NA,NA,NA,NA
china_champs,All-Around Final Results,Xiao Ruoteng,CHN,14.15,14.6,13.8,14.65,14.75,14.45,86.4,NA,NA,NA,NA,NA,NA
china_champs,All-Around Final Results,Sun Wei,CHN,13.6,14.8,14.5,13.4,12.85,13.5,82.65,NA,NA,NA,NA,NA,NA
china_champs,All-Around Final Results,Tian Hao,CHN,12.95,14,13.25,13.3,13.35,13.1,79.95,NA,NA,NA,NA,NA,NA
china_champs,All-Around Final Results,Wei Guozheng,CHN,13.7,13,12.45,13.7,13.6,13.85,80.3,NA,NA,NA,NA,NA,NA
china_champs,All-Around Final Results,He Junhua,CHN,13.65,13.65,12.95,14.05,14.1,13.45,81.85,NA,NA,NA,NA,NA,NA
china_champs,All-Around Final Results,Hu Xuwei,CHN,12.45,13.1,13.8,13.9,12.9,12.85,79,NA,NA,NA,NA,NA,NA
china_champs,All-Around Final Results,Wang Chengcheng,CHN,12.7,13.35,12.95,14.2,13.1,12.65,78.95,NA,NA,NA,NA,NA,NA
china_champs,All-Around Final Results,Xu Chengyu,CHN,13.95,13.2,12.6,13.7,12.1,13.45,79,NA,NA,NA,NA,NA,NA
china_champs,All-Around Final Results,Hong Yanming,CHN,12.95,14.5,12.5,12.65,13.55,12.05,78.2,NA,NA,NA,NA,NA,NA
china_champs,All-Around Final Results,Wang Zhen,CHN,14.15,13.25,13.05,12.85,13.3,12.55,79.15,NA,NA,NA,NA,NA,NA
china_champs,All-Around Final Results,Zhang Yangyu,CHN,12.95,11,12.95,13.9,13.9,13.7,78.4,NA,NA,NA,NA,NA,NA
china_champs,All-Around Final Results,Lei Qingzhu,CHN,13.2,14.25,12.3,13.5,13.55,12.7,79.5,NA,NA,NA,NA,NA,NA
china_champs,All-Around Final Results,Xian Yongzhuo,CHN,13.55,12.55,12.85,12.55,13.55,12.75,77.8,NA,NA,NA,NA,NA,NA
china_champs,All-Around Final Results,Huai Tianlang,CHN,12.1,12.6,12.7,13.8,13.3,13.25,77.75,NA,NA,NA,NA,NA,NA
china_champs,All-Around Final Results,Liao Luokai,CHN,13.8,13.45,12.6,13.9,12,12.7,78.45,NA,NA,NA,NA,NA,NA
china_champs,All-Around Final Results,Zheng Ao,CHN,12.2,14.2,12.7,12.75,12.4,13.25,77.5,NA,NA,NA,NA,NA,NA
china_champs,All-Around Final Results,Wang Haoran,CHN,13,12.5,12.65,13.05,12.95,12.65,76.8,NA,NA,NA,NA,NA,NA
china_champs,All-Around Final Results,Yang Hang,CHN,13,12.8,12.25,12.3,11.65,13.05,75.05,NA,NA,NA,NA,NA,NA
china_champs,All-Around Final Results,Sun Pizhou,CHN,13.05,12.2,13.2,13.8,13.65,12.55,78.45,NA,NA,NA,NA,NA,NA
china_champs,All-Around Final Results,Luo Yijie,CHN,13.5,9.1,13.05,13.75,8.25,12.2,69.85,NA,NA,NA,NA,NA,NA
china_champs,All-Around Final Results,Zhang Boheng,CHN,10.7,14.45,13.55,NA,NA,NA,38.7,NA,NA,NA,NA,NA,NA
china_champs,All-Around Final Results,Li Linzhen,CHN,NA,10.05,NA,NA,NA,NA,10.05,NA,NA,NA,NA,NA,NA
china_champs,Floor Final Results,Su Weide,CHN,15.1,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA,NA
china_champs,Floor Final Results,Yang Yanzhi,CHN,14.533,NA,NA,NA,NA,NA,NA,6.1,NA,NA,NA,NA,NA
china_champs,Floor Final Results,Xiao Ruoteng,CHN,14.466,NA,NA,NA,NA,NA,NA,5.8,NA,NA,NA,NA,NA
china_champs,Floor Final Results,Chen Zhilong,CHN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
china_champs,Floor Final Results,Zhang Wenbo,CHN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
china_champs,Floor Final Results,Sun Wei,CHN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
china_champs,Floor Final Results,Shi Cong,CHN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
china_champs,Floor Final Results,Wang Chengcheng,CHN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
china_champs,Pommels Final Results,Zou Jingyuan,CHN,NA,14.9,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA,NA
china_champs,Pommels Final Results,Lu Chongcan,CHN,NA,14.866,NA,NA,NA,NA,NA,NA,6.3,NA,NA,NA,NA
china_champs,Pommels Final Results,Zhang Boheng,CHN,NA,14.766,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA
china_champs,Pommels Final Results,Li Linzhen,CHN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
china_champs,Pommels Final Results,Zhang Wei,CHN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
china_champs,Pommels Final Results,Hong Yanming,CHN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
china_champs,Pommels Final Results,Weng Hao,CHN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
china_champs,Pommels Final Results,Gao Tianlong,CHN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
china_champs,Rings Final Results,Liu Yang,CHN,NA,NA,15.4,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA
china_champs,Rings Final Results,Zou Jingyuan,CHN,NA,NA,15.233,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA
china_champs,Rings Final Results,You Hao,CHN,NA,NA,15.1,NA,NA,NA,NA,NA,NA,6.6,NA,NA,NA
china_champs,Rings Final Results,Lan Xingyu,CHN,NA,NA,14.9,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA
china_champs,Rings Final Results,Zhang Boheng,CHN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
china_champs,Rings Final Results,Liu Hengyu,CHN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
china_champs,Rings Final Results,She Zhihui,CHN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
china_champs,Rings Final Results,Liu Yang,CHN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
china_champs,Vault Final Results,Huang Mingqi,CHN,NA,NA,NA,14.7,NA,NA,NA,NA,NA,NA,5.6,NA,NA
china_champs,Vault Final Results,Chen Zhilong,CHN,NA,NA,NA,14.833,NA,NA,NA,NA,NA,NA,6,NA,NA
china_champs,Vault Final Results,Chen Yilu,CHN,NA,NA,NA,14.6,NA,NA,NA,NA,NA,NA,5.8,NA,NA
china_champs,Vault Final Results,Hu Youtian,CHN,NA,NA,NA,14.233,NA,NA,NA,NA,NA,NA,NA,NA,NA
china_champs,Vault Final Results,Zhan Xiangzhou,CHN,NA,NA,NA,14.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
china_champs,Vault Final Results,Zhang Zhishan,CHN,NA,NA,NA,13.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
china_champs,Vault Final Results,Yan Zhong,CHN,NA,NA,NA,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
