MEET,ROUND,NAME,TEAM,FX,PH,SR,VT,PB,HB,AA,FX_D,PH_D,SR_D,VT_D,PB_D,HB_D
cottbus_cup,Floor Final Results,Harry Hepworth,GBR,14.9,NA,NA,NA,NA,NA,NA,6.8,NA,NA,NA,NA,NA
cottbus_cup,Floor Final Results,Artem Dolgopyat,ISR,14.866,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA,NA
cottbus_cup,Floor Final Results,Ryu Sunghyun,KOR,14.366,NA,NA,NA,NA,NA,NA,6.1,NA,NA,NA,NA,NA
cottbus_cup,Floor Final Results,Kim Hansol,KOR,14.333,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA
cottbus_cup,Floor Final Results,Milan Hosseini,DEU,14.333,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA
cottbus_cup,Floor Final Results,Yahor Sharamkou,BLR,14.133,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA,NA
cottbus_cup,Floor Final Results,Benjamin Osberger,FRA,14.1,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA,NA,NA
cottbus_cup,Floor Final Results,Aurel Benovic,HRV,11.433,NA,NA,NA,NA,NA,NA,6.1,NA,NA,NA,NA,NA
cottbus_cup,Pommels Final Results,Nariman Kurbanov,KAZ,NA,15.433,NA,NA,NA,NA,NA,NA,6.7,NA,NA,NA,NA
cottbus_cup,Pommels Final Results,Ahmad Abu Al Soud,JOR,NA,15.3,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA
cottbus_cup,Pommels Final Results,Hur Woong,KOR,NA,15.3,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA
cottbus_cup,Pommels Final Results,Illia Kovtun,UKR,NA,15,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA
cottbus_cup,Pommels Final Results,Matvei Petrov,ALB,NA,14.833,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA
cottbus_cup,Pommels Final Results,Gagik Khachikyan,ARM,NA,14.8,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA
cottbus_cup,Pommels Final Results,Loran de Munck,NLD,NA,14.666,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA
cottbus_cup,Pommels Final Results,Benjamin Osberger,FRA,NA,12.933,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA
cottbus_cup,Rings Final Results,Nikita Simonov,AZE,NA,NA,14.7,NA,NA,NA,NA,NA,NA,6.2,NA,NA,NA
cottbus_cup,Rings Final Results,Samir Aït Saïd,FRA,NA,NA,14.666,NA,NA,NA,NA,NA,NA,6.1,NA,NA,NA
cottbus_cup,Rings Final Results,Vahagn Davtyan,ARM,NA,NA,14.6,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
cottbus_cup,Rings Final Results,Artur Avetisyan,ARM,NA,NA,14.566,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA
cottbus_cup,Rings Final Results,Jong Ryong Il,PRK,NA,NA,14.433,NA,NA,NA,NA,NA,NA,6.2,NA,NA,NA
cottbus_cup,Rings Final Results,Courtney Tulloch,GBR,NA,NA,14.4,NA,NA,NA,NA,NA,NA,6.2,NA,NA,NA
cottbus_cup,Rings Final Results,Harry Hepworth,GBR,NA,NA,14.2,NA,NA,NA,NA,NA,NA,5.8,NA,NA,NA
cottbus_cup,Rings Final Results,Vinzenz Höck,AUT,NA,NA,14.166,NA,NA,NA,NA,NA,NA,6.1,NA,NA,NA
cottbus_cup,Vault Final Results,Artur Davtyan,ARM,NA,NA,NA,15.1,NA,NA,NA,NA,NA,NA,5.6,NA,NA
cottbus_cup,Vault Final Results,Mahdi Olfati,IRN,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,5.6,NA,NA
cottbus_cup,Vault Final Results,Chen Yilu,CHN,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,5.8,NA,NA
cottbus_cup,Vault Final Results,Harry Hepworth,GBR,NA,NA,NA,14.9,NA,NA,NA,NA,NA,NA,5.6,NA,NA
cottbus_cup,Vault Final Results,James Bacueti,AUS,NA,NA,NA,14.766,NA,NA,NA,NA,NA,NA,5.6,NA,NA
cottbus_cup,Vault Final Results,Yahor Sharamkou,BLR,NA,NA,NA,14.633,NA,NA,NA,NA,NA,NA,5.6,NA,NA
cottbus_cup,Vault Final Results,Tseng Wei-Sheng,TWN,NA,NA,NA,14.4,NA,NA,NA,NA,NA,NA,5.6,NA,NA
cottbus_cup,Vault Final Results,Milad Karimi,KAZ,NA,NA,NA,14.5,NA,NA,NA,NA,NA,NA,5.6,NA,NA
