MEET,ROUND,NAME,TEAM,FX,PH,SR,VT,PB,HB,AA,FX_D,PH_D,SR_D,VT_D,PB_D,HB_D
doha_cup,F,Milad Karimi,KAZ,14.766,NA,NA,NA,12.9,13.666,NA,6.3,NA,NA,NA,5.9,6.3
doha_cup,F,Luke Whitehouse,GBR,14.566,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA
doha_cup,F,Dmitriy Patanin,KAZ,14.5,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA,NA,NA
doha_cup,F,Aurel Benovic,HRV,14.333,NA,NA,14.966,NA,NA,NA,6.3,NA,NA,5.6,NA,NA
doha_cup,F,Yuri Guimarães,BRA,13.933,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA,NA,NA
doha_cup,F,Benjamin Osberger,FRA,13.733,14.833,NA,NA,NA,NA,NA,5.9,6,NA,NA,NA,NA
doha_cup,F,Abdulaziz Mirvaliev,UZB,13.633,NA,NA,NA,NA,NA,NA,5.6,NA,NA,NA,NA,NA
doha_cup,F,Michalis Chari,CYP,13.433,NA,NA,NA,NA,NA,NA,5.7,NA,NA,NA,NA,NA
doha_cup,F,Ahmad Abu Al Soud,JOR,NA,15.5,NA,NA,NA,NA,NA,NA,6.6,NA,NA,NA,NA
doha_cup,F,Lee Chih-Kai,TWN,NA,15.4,NA,NA,NA,NA,NA,NA,6.6,NA,NA,NA,NA
doha_cup,F,Rhys McClenaghan,IRL,NA,15.233,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA
doha_cup,F,Nariman Kurbanov,KAZ,NA,15.133,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA
doha_cup,F,Harutyun Merdinyan,ARM,NA,14.733,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA
doha_cup,F,Dang Ngoc Xuan Thien,VNM,NA,13.733,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA
doha_cup,F,Shiao Yu-Jan,TWN,NA,13.066,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA
doha_cup,F,Vahagn Davtyan,ARM,NA,NA,14.833,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
doha_cup,F,Nikita Simonov,AZE,NA,NA,14.8,NA,NA,NA,NA,NA,NA,6.2,NA,NA,NA
doha_cup,F,Samir Aït Saïd,FRA,NA,NA,14.633,NA,NA,NA,NA,NA,NA,6.1,NA,NA,NA
doha_cup,F,Vinzenz Höck,AUT,NA,NA,14.566,NA,NA,NA,NA,NA,NA,6.1,NA,NA,NA
doha_cup,F,Artur Avetisyan,ARM,NA,NA,14.466,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA
doha_cup,F,Ali Zahran,EGY,NA,NA,14.466,NA,NA,NA,NA,NA,NA,6.1,NA,NA,NA
doha_cup,F,Jong Ryong Il,PRK,NA,NA,14.166,NA,NA,NA,NA,NA,NA,6.2,NA,NA,NA
doha_cup,F,Omar Mohamed,EGY,NA,NA,14.033,NA,NA,NA,NA,NA,NA,5.7,NA,NA,NA
doha_cup,F,Artur Davtyan,ARM,NA,NA,NA,15.2,NA,NA,NA,NA,NA,NA,5.6,NA,NA
doha_cup,F,Carlos Yulo,PHL,NA,NA,NA,15.333,15.2,NA,NA,NA,NA,NA,6,6.3,NA
doha_cup,F,Yahor Sharamkou,BLR,NA,NA,NA,14.833,NA,NA,NA,NA,NA,NA,5.6,NA,NA
doha_cup,F,Audrys Nin Reyes,DOM,NA,NA,NA,14.766,NA,NA,NA,NA,NA,NA,5.6,NA,NA
doha_cup,F,James Bacueti,AUS,NA,NA,NA,14.666,NA,NA,NA,NA,NA,NA,5.6,NA,NA
doha_cup,F,Niccolò Vannucchi,ITA,NA,NA,NA,14.7,NA,NA,NA,NA,NA,NA,5.6,NA,NA
doha_cup,F,Ng Chun Chen,MYS,NA,NA,NA,14.733,NA,NA,NA,NA,NA,NA,5.6,NA,NA
doha_cup,F,Hung Yuan-Hsi,TWN,NA,NA,NA,NA,14.966,NA,NA,NA,NA,NA,NA,6.5,NA
doha_cup,F,Caio Souza,BRA,NA,NA,NA,NA,14.566,14.366,NA,NA,NA,NA,NA,6,6.3
doha_cup,F,Diogo Soares,BRA,NA,NA,NA,NA,14.433,NA,NA,NA,NA,NA,NA,6,NA
doha_cup,F,Rasuljon Abdurakhimov,UZB,NA,NA,NA,NA,13.933,NA,NA,NA,NA,NA,NA,5.9,NA
doha_cup,F,Nicolò Mozzato,ITA,NA,NA,NA,NA,13.833,NA,NA,NA,NA,NA,NA,6,NA
doha_cup,F,Lay Giannini,ITA,NA,NA,NA,NA,13.1,NA,NA,NA,NA,NA,NA,6,NA
doha_cup,F,Tang Chia-Hung,TWN,NA,NA,NA,NA,NA,15.133,NA,NA,NA,NA,NA,NA,6.5
