MEET,ROUND,NAME,TEAM,FX,PH,SR,VT,PB,HB,AA,FX_D,PH_D,SR_D,VT_D,PB_D,HB_D
dtppokal,AA Results,Matteo Giubellini,CHE,13.766,14.533,13.2,14.1,13.966,13.433,82.998,NA,NA,NA,NA,NA,NA
dtppokal,AA Results,Artem Dolgopyat,ISR,14.9,13.166,13,14.4,13.766,12.833,82.065,NA,NA,NA,NA,NA,NA
dtppokal,AA Results,Cameron Bock,USA,13.566,12.466,13.7,14.066,13.833,13.533,81.164,NA,NA,NA,NA,NA,NA
dtppokal,AA Results,Lorenzo Casali,ITA,13.766,12.266,13.366,14.566,13.533,13.333,80.83,NA,NA,NA,NA,NA,NA
dtppokal,AA Results,Yumin Abbadini,ITA,13.833,14.066,13.4,13.166,11.9,14.2,80.565,NA,NA,NA,NA,NA,NA
dtppokal,AA Results,Tsunogai Tomoharu,JPN,12.133,13.366,12.666,14.266,13.366,13.866,79.663,NA,NA,NA,NA,NA,NA
dtppokal,AA Results,Kamiyama Haruto,JPN,13.3,12.633,12.6,14.666,13.233,12.866,79.298,NA,NA,NA,NA,NA,NA
dtppokal,AA Results,Jesse Moore,AUS,12.433,13.566,12.533,13.733,13.633,13.266,79.164,NA,NA,NA,NA,NA,NA
dtppokal,AA Results,Uri Zeidel,ISR,12.5,13.633,13.366,13.033,13.666,12.933,79.131,NA,NA,NA,NA,NA,NA
dtppokal,AA Results,Julien Marechal,FRA,13.3,13.133,12.666,12.066,13.833,12.933,77.931,NA,NA,NA,NA,NA,NA
dtppokal,AA Results,Luka van den Keybus,BEL,12.966,13.533,12.9,12.933,13.3,11.633,77.265,NA,NA,NA,NA,NA,NA
dtppokal,AA Results,James Hardy,AUS,13.733,11.6,13.233,14.366,12.733,11.233,76.898,NA,NA,NA,NA,NA,NA
dtppokal,AA Results,Rene Cournoyer,CAN,13.1,11.9,12.633,13.033,12.366,13.766,76.798,NA,NA,NA,NA,NA,NA
dtppokal,AA Results,Pascal Brendel,DEU,14.166,13.766,11.933,13.033,12.133,11.733,76.764,NA,NA,NA,NA,NA,NA
dtppokal,AA Results,Lucas Kochan,DEU,11.6,12.766,13,13.9,13.4,11.866,76.532,NA,NA,NA,NA,NA,NA
dtppokal,AA Results,Fujisaki Hinata,JPN,13.266,11,12.766,14.066,12.133,13,76.231,NA,NA,NA,NA,NA,NA
dtppokal,AA Results,Utkirbek Juraev,UZB,12.2,12.633,12.6,12.833,13,12.933,76.199,NA,NA,NA,NA,NA,NA
dtppokal,AA Results,Tim Randegger,CHE,12.033,12.766,11.4,13.266,13.266,13.3,76.031,NA,NA,NA,NA,NA,NA
dtppokal,AA Results,Abdulla Azimov,UZB,13.066,13.066,10.966,14.033,12.266,12.5,75.897,NA,NA,NA,NA,NA,NA
dtppokal,AA Results,Jack Hall,AUS,13.233,11.033,13,13.633,13.5,11.366,75.765,NA,NA,NA,NA,NA,NA
dtppokal,AA Results,Heath Thorpe,AUS,12.133,11.4,12.1,14.1,12.2,13.633,75.566,NA,NA,NA,NA,NA,NA
dtppokal,AA Results,Victor Martinez,BEL,12.666,12.1,12.233,13.933,12.566,11.6,75.098,NA,NA,NA,NA,NA,NA
dtppokal,AA Results,Pablo Ruiz,ESP,12.6,12.066,12.1,12.866,12.033,11.833,73.498,NA,NA,NA,NA,NA,NA
dtppokal,AA Results,Yul Moldauer,USA,12.566,14.466,13.9,14.566,14.866,NA,70.364,NA,NA,NA,NA,NA,NA
dtppokal,AA Results,Jan Carreres,ESP,11.766,11.5,11.2,12.9,13,9.633,69.999,NA,NA,NA,NA,NA,NA
dtppokal,AA Results,Shane Wiskus,USA,13.366,13.633,13.4,NA,14,13.8,68.199,NA,NA,NA,NA,NA,NA
dtppokal,AA Results,Riley Loos,USA,13.7,13.633,13.466,14.333,NA,13.033,68.165,NA,NA,NA,NA,NA,NA
dtppokal,AA Results,Sun Wei,CHN,13.6,14.433,13.9,NA,13.133,13,68.066,NA,NA,NA,NA,NA,NA
dtppokal,AA Results,Matteo Levantesi,ITA,13.233,NA,12.666,13.1,14.2,13.7,66.899,NA,NA,NA,NA,NA,NA
dtppokal,AA Results,Paul Degouy,FRA,13.333,12.633,NA,13.566,13,13.4,65.932,NA,NA,NA,NA,NA,NA
dtppokal,AA Results,Ilia Liubimov,ISR,10.966,14.233,NA,13.866,13.2,13.333,65.598,NA,NA,NA,NA,NA,NA
dtppokal,AA Results,Axel Breche,FRA,NA,12.666,12.733,14.233,10.6,12.9,63.132,NA,NA,NA,NA,NA,NA
dtppokal,AA Results,Khabibullo Ergashev,UZB,11.866,13.166,12.566,12.233,NA,12.5,62.331,NA,NA,NA,NA,NA,NA
dtppokal,AA Results,Zachary Clay,CAN,11.4,10.066,NA,13.533,13.5,10.566,59.065,NA,NA,NA,NA,NA,NA
dtppokal,AA Results,Lan Xingyu,CHN,12.9,NA,15.166,14.166,14,NA,56.232,NA,NA,NA,NA,NA,NA
dtppokal,AA Results,Mario Macchiati,ITA,NA,14.4,NA,12.766,14.1,13.2,54.466,NA,NA,NA,NA,NA,NA
dtppokal,AA Results,Shi Cong,CHN,NA,12.533,13.733,NA,14,14.166,54.432,NA,NA,NA,NA,NA,NA
dtppokal,AA Results,Florian Langenegger,CHE,13.466,13.8,NA,14.1,NA,13,54.366,NA,NA,NA,NA,NA,NA
dtppokal,AA Results,Andreas Toba,DEU,NA,NA,13.366,13.766,13.1,14,54.232,NA,NA,NA,NA,NA,NA
dtppokal,AA Results,Timo Eder,DEU,12.8,13.933,NA,14.066,NA,13,53.799,NA,NA,NA,NA,NA,NA
dtppokal,AA Results,Glen Cuyle,BEL,13.033,NA,14.133,13.266,13.3,NA,53.732,NA,NA,NA,NA,NA,NA
dtppokal,AA Results,Su Weide,CHN,13.666,13.666,NA,13.5,NA,12.766,53.598,NA,NA,NA,NA,NA,NA
dtppokal,AA Results,Jan Imhof,CHE,13.266,NA,12.933,14.433,12.433,NA,53.065,NA,NA,NA,NA,NA,NA
dtppokal,AA Results,Noah Kuavita,BEL,NA,13.133,NA,13.066,12.7,14.133,53.032,NA,NA,NA,NA,NA,NA
dtppokal,AA Results,Nils Dunkel,DEU,12,14.066,12.366,NA,13.466,NA,51.898,NA,NA,NA,NA,NA,NA
dtppokal,AA Results,Unai Baigorri,ESP,13,12.366,NA,13.766,NA,12.533,51.665,NA,NA,NA,NA,NA,NA
dtppokal,AA Results,Nicolas Diez,FRA,13.7,9.633,12.8,14.433,NA,NA,50.566,NA,NA,NA,NA,NA,NA
dtppokal,AA Results,Pau Jimenez,ESP,12.333,NA,12.866,12.766,12.566,NA,50.531,NA,NA,NA,NA,NA,NA
dtppokal,AA Results,Fukubayashi Haruki,JPN,NA,13.366,12.866,NA,13.166,10.9,50.298,NA,NA,NA,NA,NA,NA
dtppokal,AA Results,Samuel Zakutney,CAN,12.8,11.466,NA,NA,13.466,12.2,49.932,NA,NA,NA,NA,NA,NA
