MEET,ROUND,NAME,TEAM,FX,PH,SR,VT,PB,HB,AA,FX_D,PH_D,SR_D,VT_D,PB_D,HB_D
dutch_champs,Senior All-Around Results,Casimir Schmidt,NLD,14,13.4,14.167,14.467,14.167,13.567,83.768,NA,NA,NA,NA,NA,NA
dutch_champs,Senior All-Around Results,Frank Rijken,NLD,13.867,12.633,13.2,14.033,14.533,13.633,81.899,NA,NA,NA,NA,NA,NA
dutch_champs,Senior All-Around Results,Jermain Grünberg,NLD,13.6,12.767,13.067,12.967,13.967,13.567,79.935,NA,NA,NA,NA,NA,NA
dutch_champs,Senior All-Around Results,Martijn de Veer,NLD,14.133,12,12.767,14.233,13.033,13.167,79.333,NA,NA,NA,NA,NA,NA
dutch_champs,Senior All-Around Results,Yazz Ramsahai,NLD,13.467,12.767,12.4,14.567,12.9,13.1,79.201,NA,NA,NA,NA,NA,NA
dutch_champs,Senior All-Around Results,Amine Abaidi,NLD,13.233,13,12.9,14.3,12.7,12.633,78.766,NA,NA,NA,NA,NA,NA
dutch_champs,Senior All-Around Results,Ronan Boers,NLD,12.3,11.167,11.767,14.033,12.133,12.5,73.9,NA,NA,NA,NA,NA,NA
dutch_champs,Senior All-Around Results,Elias Ridder,NLD,12.367,10.2,9.733,11.8,11.2,11.833,67.133,NA,NA,NA,NA,NA,NA
dutch_champs,Senior All-Around Results,Rick Jacobs,NLD,13.467,NA,12.867,14.3,13.033,12.5,66.167,NA,NA,NA,NA,NA,NA
dutch_champs,Senior All-Around Results,Elwin Lok,NLD,12.333,10.7,10.233,12.433,7.233,11.033,63.965,NA,NA,NA,NA,NA,NA
dutch_champs,Senior All-Around Results,Klaas-Jan Zwolsman,NLD,13.267,NA,11.567,13.3,11.5,12.133,61.767,NA,NA,NA,NA,NA,NA
dutch_champs,Senior All-Around Results,Luuk Huernink,NLD,13.633,11.967,NA,14.033,10.6,NA,50.233,NA,NA,NA,NA,NA,NA
dutch_champs,Senior All-Around Results,Jarien Fokkens,NLD,12.933,10.567,NA,13.033,10.133,NA,46.666,NA,NA,NA,NA,NA,NA
dutch_champs,Senior All-Around Results,Loran de Munck,NLD,NA,15.067,12.767,NA,12.767,NA,40.601,NA,NA,NA,NA,NA,NA
dutch_champs,Senior All-Around Results,Wout Teillers,NLD,NA,NA,NA,NA,11.6,12.033,23.633,NA,NA,NA,NA,NA,NA
dutch_champs,Senior All-Around Results,Bart Deurloo,NLD,NA,NA,NA,NA,NA,13.233,13.233,NA,NA,NA,NA,NA,NA
dutch_champs,Senior All-Around Results,Bradley Noordzij,NLD,NA,12.533,NA,NA,NA,NA,12.533,NA,NA,NA,NA,NA,NA
dutch_champs,Senior All-Around Results,Lucas van Koningsbruggen,NLD,NA,NA,NA,NA,11.867,NA,11.867,NA,NA,NA,NA,NA,NA
