MEET,ROUND,NAME,TEAM,FX,PH,SR,VT,PB,HB,AA,FX_D,PH_D,SR_D,VT_D,PB_D,HB_D
english_champs,Senior All-Around Results,Joe Fraser,GBR,13.1,14.7,14.2,14,14.45,14.05,84.5,NA,NA,NA,NA,NA,NA
english_champs,Senior All-Around Results,James Hall,GBR,14.65,14.3,13.45,13.95,12.4,13.3,82.05,NA,NA,NA,NA,NA,NA
english_champs,Senior All-Around Results,Jake Jarman,GBR,13.9,14.3,12.8,14.6,12.6,13.55,81.75,NA,NA,NA,NA,NA,NA
english_champs,Senior All-Around Results,Luke Whitehouse,GBR,13.7,13.1,13.25,13.95,13.95,12.2,80.15,NA,NA,NA,NA,NA,NA
english_champs,Senior All-Around Results,Remell Robinson-Bailey,GBR,13.5,11.95,13.05,14.2,13.25,12.75,78.7,NA,NA,NA,NA,NA,NA
english_champs,Senior All-Around Results,Patrick Watkinson,GBR,13.45,13.65,12.35,13.35,12.3,13.35,78.45,NA,NA,NA,NA,NA,NA
english_champs,Senior All-Around Results,Luke Marsh,GBR,13.6,12.4,12.55,14.4,13,12.1,78.05,NA,NA,NA,NA,NA,NA
english_champs,Senior All-Around Results,Alexander Yolshina-Cash,GBR,13.35,12,12.6,13.95,12.7,12.5,77.1,NA,NA,NA,NA,NA,NA
english_champs,Senior All-Around Results,Sam Mostowfi,GBR,13.15,10.45,12.2,13.85,13.8,12.1,75.55,NA,NA,NA,NA,NA,NA
english_champs,Senior All-Around Results,Euan Cox,GBR,13.35,10.2,12.45,14,13.65,11.6,75.25,NA,NA,NA,NA,NA,NA
english_champs,Senior All-Around Results,Finlay Morgan,GBR,13,11.8,12.85,13.75,11.95,11.3,74.65,NA,NA,NA,NA,NA,NA
english_champs,Senior All-Around Results,Ryan Cirino,GBR,13.2,12.05,12.55,13,12.95,10.9,74.65,NA,NA,NA,NA,NA,NA
english_champs,Senior All-Around Results,Jake Johnson,GBR,12,11.65,11.95,12.8,12.35,12.85,73.6,NA,NA,NA,NA,NA,NA
english_champs,Senior All-Around Results,Ryan Owen,GBR,12.6,10.95,11.2,14.3,12.8,11.4,73.25,NA,NA,NA,NA,NA,NA
