MEET,ROUND,NAME,TEAM,FX,PH,SR,VT,HB,AA,FX_D,PH_D,SR_D,VT_D,PB_D,HB_D
euro_champs,NA,Marios Georgiou,CYP,13.533,14.266,13.233,14.1,14.5,84.265,NA,NA,NA,NA,NA,NA
euro_champs,NA,Oleg Verniaiev,UKR,13.733,15.166,14.033,14.666,12.233,84.031,NA,NA,NA,NA,NA,NA
euro_champs,NA,Yumin Abbadini,ITA,14.066,14.233,13.7,14,14.333,83.765,NA,NA,NA,NA,NA,NA
euro_champs,NA,Jake Jarman,GBR,14.533,13.866,13.133,14.933,13.566,83.431,NA,NA,NA,NA,NA,NA
euro_champs,NA,Krisztofer Meszaros,HUN,14.333,13.5,13.366,13.966,14,83.398,NA,NA,NA,NA,NA,NA
euro_champs,NA,Illia Kovtun,UKR,11.966,13.7,13.466,14.333,14.6,83.331,NA,NA,NA,NA,NA,NA
euro_champs,NA,Nestor Abad,ESP,13.733,13.366,13.8,14.3,13.433,82.798,NA,NA,NA,NA,NA,NA
euro_champs,NA,Artem Dolgopyat,ISR,15.2,12.6,13.033,14.433,13.6,82.432,NA,NA,NA,NA,NA,NA
euro_champs,NA,Adem Asil,TUR,14.066,11.966,14.933,15.133,13.333,82.331,NA,NA,NA,NA,NA,NA
euro_champs,NA,Ilias Georgiou,CYP,13.6,12.5,13.5,14.433,13.833,82.066,NA,NA,NA,NA,NA,NA
euro_champs,NA,Joel Plata,ESP,14.1,12.366,13.333,13.433,14.466,81.931,NA,NA,NA,NA,NA,NA
euro_champs,NA,Courtney Tulloch,GBR,13.8,12.366,14.7,14.7,12.566,81.832,NA,NA,NA,NA,NA,NA
euro_champs,NA,Matteo Giubellini,CHE,13.766,14.6,13.4,13.9,13.666,81.765,NA,NA,NA,NA,NA,NA
euro_champs,NA,Elias Koski,FIN,13.733,13.8,13.066,14,13.633,81.598,NA,NA,NA,NA,NA,NA
euro_champs,NA,Casimir Schmidt,NLD,12.9,13.7,13.5,14.5,13.233,81.333,NA,NA,NA,NA,NA,NA
euro_champs,NA,Oskar Kirmes,FIN,13.766,13.766,13.2,13.8,13.3,81.232,NA,NA,NA,NA,NA,NA
euro_champs,NA,Sofus Heggemsnes,NOR,13.333,13,13.266,14.3,13.4,80.865,NA,NA,NA,NA,NA,NA
euro_champs,NA,Pascal Brendel,DEU,13.8,12.966,12.4,13.933,13.9,80.699,NA,NA,NA,NA,NA,NA
euro_champs,NA,Nils Dunkel,DEU,13.233,12.566,13.366,13.9,13.1,80.431,NA,NA,NA,NA,NA,NA
euro_champs,NA,Krisztian Balazs,HUN,12.966,12.733,13.066,13.6,13.9,80.365,NA,NA,NA,NA,NA,NA
