MEET,ROUND,NAME,TEAM,FX,PH,SR,VT,PB,HB,AA,FX_D,PH_D,SR_D,VT_D,PB_D,HB_D
german_olympictrials,All-Around Results,Timo Eder,DEU,13.7,14.1,13,14.525,14,13.35,82.675,NA,NA,NA,NA,NA,NA
german_olympictrials,All-Around Results,Nils Dunkel,DEU,12.95,14.375,13.875,13.55,14.45,13.075,82.275,NA,NA,NA,NA,NA,NA
german_olympictrials,All-Around Results,Glenn Trebing,DEU,13.975,13.6,13.125,13.575,14,13.5,81.775,NA,NA,NA,NA,NA,NA
german_olympictrials,All-Around Results,Milan Hosseini,DEU,14.525,13.1,12.85,14.3,13.65,12.475,80.9,NA,NA,NA,NA,NA,NA
german_olympictrials,All-Around Results,Pascal Brendel,DEU,13.85,14.05,12.525,12.975,13.675,13.5,80.575,NA,NA,NA,NA,NA,NA
german_olympictrials,All-Around Results,Alexander Kunz,DEU,13.325,11.675,13.575,13.65,14.1,13.325,79.65,NA,NA,NA,NA,NA,NA
german_olympictrials,All-Around Results,Maxim Kovalenko,DEU,14.25,12.85,11.85,13,13.15,13.05,78.15,NA,NA,NA,NA,NA,NA
german_olympictrials,All-Around Results,Carlo Hörr,DEU,13.475,13.225,13.7,14,13.425,10.175,78,NA,NA,NA,NA,NA,NA
german_olympictrials,All-Around Results,Nils Matache,DEU,13.95,10.15,12.875,14.225,13.5,12.9,77.6,NA,NA,NA,NA,NA,NA
german_olympictrials,All-Around Results,Leonard Prügel,DEU,13.35,12.9,12.35,12.6,13.25,12.825,77.275,NA,NA,NA,NA,NA,NA
german_olympictrials,All-Around Results,Daniel Mousichidis,DEU,12.875,13.9,12.6,13.125,12.05,12.1,76.65,NA,NA,NA,NA,NA,NA
german_olympictrials,All-Around Results,Felix Remuta,DEU,13.725,11.175,12.725,14.075,10.625,12.325,74.65,NA,NA,NA,NA,NA,NA
german_olympictrials,All-Around Results,Andreas Toba,DEU,NA,12.95,13.9,14.55,14.05,14.275,69.725,NA,NA,NA,NA,NA,NA
german_olympictrials,All-Around Results,Lukas Dauser,DEU,13.15,13.7,8.75,NA,NA,NA,35.6,NA,NA,NA,NA,NA,NA
german_olympictrials,All-Around Results,Igor Radivilov,UKR,NA,NA,14.625,14.85,NA,NA,29.475,NA,NA,NA,NA,NA,NA
