MEET,ROUND,NAME,TEAM,FX,PH,SR,VT,PB,HB,AA,FX_D,PH_D,SR_D,VT_D,PB_D,HB_D
koper_cup,Floor Final Results,NA,UKR,14.6,NA,NA,NA,NA,NA,NA,6.2,NA,NA,NA,NA,NA
koper_cup,Floor Final Results,NA,ISR,14.45,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA,NA
koper_cup,Floor Final Results,NA,ESP,14.15,NA,NA,NA,NA,NA,NA,5.8,NA,NA,NA,NA,NA
koper_cup,Floor Final Results,NA,SVN,14,NA,NA,NA,NA,NA,NA,5.7,NA,NA,NA,NA,NA
koper_cup,Floor Final Results,NA,TWN,13.85,NA,NA,NA,NA,NA,NA,5.6,NA,NA,NA,NA,NA
koper_cup,Floor Final Results,NA,MNG,13.6,NA,NA,NA,NA,NA,NA,5.6,NA,NA,NA,NA,NA
koper_cup,Floor Final Results,NA,FRA,11.75,NA,NA,NA,NA,NA,NA,5.7,NA,NA,NA,NA,NA
koper_cup,Pommels Final Results,NA,UKR,NA,14.9,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA
koper_cup,Pommels Final Results,NA,KAZ,NA,14.15,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA
koper_cup,Pommels Final Results,NA,HRV,NA,14.1,NA,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA
koper_cup,Pommels Final Results,NA,JOR,NA,14.1,NA,NA,NA,NA,NA,NA,6.6,NA,NA,NA,NA
koper_cup,Pommels Final Results,NA,SVN,NA,13.95,NA,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA
koper_cup,Pommels Final Results,NA,ISR,NA,13.8,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA
koper_cup,Pommels Final Results,NA,HUN,NA,13.7,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA,NA
koper_cup,Pommels Final Results,NA,MNG,NA,11.8,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA
koper_cup,Rings Final Results,NA,UKR,NA,NA,13.7,NA,NA,NA,NA,NA,NA,5.6,NA,NA,NA
koper_cup,Rings Final Results,NA,SVN,NA,NA,13.3,NA,NA,NA,NA,NA,NA,5.6,NA,NA,NA
koper_cup,Rings Final Results,NA,ISR,NA,NA,13.2,NA,NA,NA,NA,NA,NA,5.1,NA,NA,NA
koper_cup,Rings Final Results,NA,TUR,NA,NA,13.1,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA
koper_cup,Rings Final Results,NA,KAZ,NA,NA,13.05,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA
koper_cup,Rings Final Results,NA,HUN,NA,NA,13,NA,NA,NA,NA,NA,NA,5.1,NA,NA,NA
koper_cup,Vault Final Results,NA,ESP,NA,NA,NA,14.55,NA,NA,NA,NA,NA,NA,5.2,NA,NA
