MEET,ROUND,NAME,TEAM,FX,PH,SR,VT,PB,HB,AA,FX_D,PH_D,SR_D,VT_D,PB_D,HB_D
madrid_friendly,All-Around Results,Matteo Giubellini,CHE,13.8,14.567,13.3,14.067,13.567,13.567,82.868,NA,NA,NA,NA,NA,NA
madrid_friendly,All-Around Results,Florian Langenegger,CHE,13.8,13.833,13.5,14.267,13.767,13.133,82.3,NA,NA,NA,NA,NA,NA
madrid_friendly,All-Around Results,Joel Plata,ESP,13.567,13.632,13.333,13.433,13.4,14.5,81.865,NA,NA,NA,NA,NA,NA
madrid_friendly,All-Around Results,Noe Seifert,CHE,13.867,14.232,11,14.1,14.067,13.567,80.833,NA,NA,NA,NA,NA,NA
madrid_friendly,All-Around Results,Nicolau Mir,ESP,13.5,12.267,11.3,14.167,13.967,13.032,78.233,NA,NA,NA,NA,NA,NA
madrid_friendly,All-Around Results,Daniel Carrion,ESP,13,11.6,13,13.5,13.633,13,77.733,NA,NA,NA,NA,NA,NA
madrid_friendly,All-Around Results,Thierno Diallo,ESP,NA,13.967,13.033,13.767,14,13.232,67.999,NA,NA,NA,NA,NA,NA
madrid_friendly,All-Around Results,Moreno Kratter,CHE,13.433,12.433,12.967,11.1,13.3,NA,63.233,NA,NA,NA,NA,NA,NA
madrid_friendly,All-Around Results,Luca Giubellini,CHE,13.7,14.1,12.332,14.7,NA,NA,54.832,NA,NA,NA,NA,NA,NA
madrid_friendly,All-Around Results,Pau Jimenez,ESP,13.8,NA,11.9,14.333,12.833,NA,52.866,NA,NA,NA,NA,NA,NA
madrid_friendly,All-Around Results,Unai Baigorri,ESP,14.133,13.7,NA,12.567,NA,11.133,51.533,NA,NA,NA,NA,NA,NA
madrid_friendly,All-Around Results,Adriá Vera,ESP,12.067,13.067,12.767,NA,NA,12.967,50.868,NA,NA,NA,NA,NA,NA
madrid_friendly,All-Around Results,Rayderley Zapata,ESP,14,NA,13.933,NA,NA,NA,27.933,NA,NA,NA,NA,NA,NA
madrid_friendly,All-Around Results,Taha Serhani,CHE,NA,NA,NA,NA,14.033,13.533,27.566,NA,NA,NA,NA,NA,NA
madrid_friendly,All-Around Results,Angel Barajas,COL,NA,NA,NA,NA,14.433,11.967,26.4,NA,NA,NA,NA,NA,NA
madrid_friendly,All-Around Results,Néstor Abad,ESP,3.167,NA,NA,NA,NA,13.733,16.9,NA,NA,NA,NA,NA,NA
