MEET,ROUND,NAME,TEAM,FX,PH,SR,VT,PB,HB,AA,FX_D,PH_D,SR_D,VT_D,PB_D,HB_D
olympics,All-Around Final Results,Oka Shinnosuke,JPN,14.566,14.5,13.866,14.3,15.1,14.5,86.832,NA,NA,NA,NA,NA,NA
olympics,All-Around Final Results,Zhang Boheng,CHN,13.233,14.333,14.6,14.5,15.3,14.633,86.599,NA,NA,NA,NA,NA,NA
olympics,All-Around Final Results,Xiao Ruoteng,CHN,14.333,14.266,13.8,14.833,14.766,14.366,86.364,NA,NA,NA,NA,NA,NA
olympics,All-Around Final Results,Illia Kovtun,UKR,14.7,14.633,13.333,14.266,15.4,13.833,86.165,NA,NA,NA,NA,NA,NA
olympics,All-Around Final Results,Joe Fraser,GBR,14.3,13.7,14,14.333,14.933,14.266,85.532,NA,NA,NA,NA,NA,NA
olympics,All-Around Final Results,Hashimoto Daiki,JPN,14.633,12.966,13.4,14.766,14.433,14.4,84.598,NA,NA,NA,NA,NA,NA
olympics,All-Around Final Results,Jake Jarman,GBR,14.9,14.066,12.8,15.166,14.3,13.333,84.565,NA,NA,NA,NA,NA,NA
olympics,All-Around Final Results,Oleg Verniaiev,UKR,13.933,14.833,13.533,14.4,15,12.7,84.399,NA,NA,NA,NA,NA,NA
olympics,All-Around Final Results,Krisztofer Meszaros,HUN,13.933,14.1,13.4,14.4,14.3,13.766,83.899,NA,NA,NA,NA,NA,NA
olympics,All-Around Final Results,Matteo Giubellini,CHE,14.1,14.533,13.3,13.8,14.033,13.566,83.332,NA,NA,NA,NA,NA,NA
olympics,All-Around Final Results,Yumin Abbadini,ITA,13.9,14.166,13.333,14.033,13.966,13.8,83.198,NA,NA,NA,NA,NA,NA
olympics,All-Around Final Results,Carlos Yulo,PHL,14.333,11.9,13.933,14.766,14.5,13.6,83.032,NA,NA,NA,NA,NA,NA
olympics,All-Around Final Results,Casimir Schmidt,NLD,13.666,13.9,13.833,14.4,13.633,13.066,82.498,NA,NA,NA,NA,NA,NA
olympics,All-Around Final Results,Paul Juda,USA,13.533,13.866,13.433,13.733,13.866,13.766,82.197,NA,NA,NA,NA,NA,NA
olympics,All-Around Final Results,Fred Richard,USA,13.2,12.733,13.6,14.1,14.133,14.4,82.166,NA,NA,NA,NA,NA,NA
olympics,All-Around Final Results,Florian Langenegger,CHE,14.066,13.566,13.366,14.133,13.7,13.033,81.864,NA,NA,NA,NA,NA,NA
olympics,All-Around Final Results,René Cournoyer,CAN,13.6,13.1,13.7,13.733,14.3,13.3,81.733,NA,NA,NA,NA,NA,NA
olympics,All-Around Final Results,Nils Dunkel,DEU,13.333,14.466,13.566,13.7,13.466,13.166,81.697,NA,NA,NA,NA,NA,NA
olympics,All-Around Final Results,Mario Macchiati,ITA,13.666,13.966,13.3,14.166,13.233,13.166,81.487,NA,NA,NA,NA,NA,NA
olympics,All-Around Final Results,Félix Dolci,CAN,14.366,12.533,13.766,14.366,14.333,11.733,81.097,NA,NA,NA,NA,NA,NA
olympics,All-Around Final Results,Jesse Moore,AUS,12.533,14.466,12.866,14.333,13.866,12.366,80.43,NA,NA,NA,NA,NA,NA
olympics,All-Around Final Results,Frank Rijken,NLD,13.433,12.733,12.733,13.733,14.266,13.4,80.298,NA,NA,NA,NA,NA,NA
olympics,All-Around Final Results,Diogo Soares,BRA,13.133,11.566,12.033,14.5,13.733,13.733,78.698,NA,NA,NA,NA,NA,NA
olympics,All-Around Final Results,Milad Karimi,KAZ,13.433,8.533,12.933,14.4,14.066,12.7,76.065,NA,NA,NA,NA,NA,NA
olympics,Floor Final Results,Carlos Yulo,PHL,15,NA,NA,NA,NA,NA,NA,6.6,NA,NA,NA,NA,NA
olympics,Floor Final Results,Artem Dolgopyat,ISR,14.966,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA,NA
olympics,Floor Final Results,Jake Jarman,GBR,14.933,NA,NA,NA,NA,NA,NA,6.6,NA,NA,NA,NA,NA
olympics,Floor Final Results,Illia Kovtun,UKR,14.533,NA,NA,NA,NA,NA,NA,6.2,NA,NA,NA,NA,NA
olympics,Floor Final Results,Milad Karimi,KAZ,14.5,NA,NA,NA,NA,NA,NA,6.3,NA,NA,NA,NA,NA
olympics,Floor Final Results,Luke Whitehouse,GBR,14.466,NA,NA,NA,NA,NA,NA,6.3,NA,NA,NA,NA,NA
olympics,Floor Final Results,Rayderley Zapata,ESP,14.333,NA,NA,NA,NA,NA,NA,6.2,NA,NA,NA,NA,NA
olympics,Floor Final Results,Zhang Boheng,CHN,13.933,NA,NA,NA,NA,NA,NA,6.1,NA,NA,NA,NA,NA
olympics,Pommels Final Results,Rhys McClenaghan,IRL,NA,15.533,NA,NA,NA,NA,NA,NA,6.6,NA,NA,NA,NA
olympics,Pommels Final Results,Nariman Kurbanov,KAZ,NA,15.433,NA,NA,NA,NA,NA,NA,6.7,NA,NA,NA,NA
olympics,Pommels Final Results,Stephen Nedoroscik,USA,NA,15.3,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA
olympics,Pommels Final Results,Max Whitlock,GBR,NA,15.2,NA,NA,NA,NA,NA,NA,6.9,NA,NA,NA,NA
olympics,Pommels Final Results,Oleg Verniaiev,UKR,NA,14.966,NA,NA,NA,NA,NA,NA,6.6,NA,NA,NA,NA
olympics,Pommels Final Results,Sugino Takaaki,JPN,NA,14.933,NA,NA,NA,NA,NA,NA,6.7,NA,NA,NA,NA
olympics,Pommels Final Results,Hur Woong,KOR,NA,14.3,NA,NA,NA,NA,NA,NA,6.7,NA,NA,NA,NA
olympics,Pommels Final Results,Loran de Munck,NLD,NA,13.733,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA
olympics,Rings Final Results,Liu Yang,CHN,NA,NA,15.3,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA
olympics,Rings Final Results,Zou Jingyuan,CHN,NA,NA,15.233,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA
olympics,Rings Final Results,Eleftherios Petrounias,GRC,NA,NA,15.1,NA,NA,NA,NA,NA,NA,6.3,NA,NA,NA
olympics,Rings Final Results,Samir Aït Saïd,FRA,NA,NA,15,NA,NA,NA,NA,NA,NA,6.1,NA,NA,NA
olympics,Rings Final Results,Adem Asil,TUR,NA,NA,14.966,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA
olympics,Rings Final Results,Vahagn Davtyan,ARM,NA,NA,14.866,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
olympics,Rings Final Results,Harry Hepworth,GBR,NA,NA,14.8,NA,NA,NA,NA,NA,NA,6.1,NA,NA,NA
olympics,Rings Final Results,Glen Cuyle,BEL,NA,NA,13.833,NA,NA,NA,NA,NA,NA,6.3,NA,NA,NA
olympics,Vault Final Results,Carlos Yulo,PHL,NA,NA,NA,15.433,NA,NA,NA,NA,NA,NA,6,NA,NA
olympics,Vault Final Results,Artur Davtyan,ARM,NA,NA,NA,14.966,NA,NA,NA,NA,NA,NA,5.6,NA,NA
olympics,Vault Final Results,Harry Hepworth,GBR,NA,NA,NA,15.066,NA,NA,NA,NA,NA,NA,5.6,NA,NA
olympics,Vault Final Results,Jake Jarman,GBR,NA,NA,NA,15.1,NA,NA,NA,NA,NA,NA,6,NA,NA
olympics,Vault Final Results,Aurel Benovic,HRV,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,5.6,NA,NA
olympics,Vault Final Results,Nazar Chepurnyi,UKR,NA,NA,NA,14.966,NA,NA,NA,NA,NA,NA,5.6,NA,NA
olympics,Vault Final Results,Mahdi Olfati,IRN,NA,NA,NA,14.366,NA,NA,NA,NA,NA,NA,5.6,NA,NA
olympics,Vault Final Results,Igor Radivilov,UKR,NA,NA,NA,14.9,NA,NA,NA,NA,NA,NA,5.6,NA,NA
olympics,P-Bars Final Results,Zou Jingyuan,CHN,NA,NA,NA,NA,16.2,NA,NA,NA,NA,NA,NA,6.9,NA
olympics,P-Bars Final Results,Illia Kovtun,UKR,NA,NA,NA,NA,15.5,NA,NA,NA,NA,NA,NA,7,NA
olympics,P-Bars Final Results,Oka Shinnosuke,JPN,NA,NA,NA,NA,15.3,NA,NA,NA,NA,NA,NA,6.5,NA
olympics,P-Bars Final Results,Zhang Boheng,CHN,NA,NA,NA,NA,15.1,NA,NA,NA,NA,NA,NA,6.4,NA
olympics,P-Bars Final Results,Ferhat Arican,TUR,NA,NA,NA,NA,15.1,NA,NA,NA,NA,NA,NA,6.9,NA
olympics,P-Bars Final Results,Tanigawa Wataru,JPN,NA,NA,NA,NA,14.133,NA,NA,NA,NA,NA,NA,6.3,NA
olympics,P-Bars Final Results,Lukas Dauser,DEU,NA,NA,NA,NA,13.7,NA,NA,NA,NA,NA,NA,6,NA
olympics,P-Bars Final Results,Oleg Verniaiev,UKR,NA,NA,NA,NA,13.3,NA,NA,NA,NA,NA,NA,6.2,NA
olympics,High Bar Final Results,Oka Shinnosuke,JPN,NA,NA,NA,NA,NA,14.533,NA,NA,NA,NA,NA,NA,5.9
olympics,High Bar Final Results,Angel Barajas,COL,NA,NA,NA,NA,NA,14.533,NA,NA,NA,NA,NA,NA,6.6
olympics,High Bar Final Results,Zhang Boheng,CHN,NA,NA,NA,NA,NA,13.966,NA,NA,NA,NA,NA,NA,6.5
olympics,High Bar Final Results,Tang Chia-Hung,TWN,NA,NA,NA,NA,NA,13.966,NA,NA,NA,NA,NA,NA,6.5
olympics,High Bar Final Results,Su Weide,CHN,NA,NA,NA,NA,NA,13.433,NA,NA,NA,NA,NA,NA,6
olympics,High Bar Final Results,Marios Georgiou,CYP,NA,NA,NA,NA,NA,13.333,NA,NA,NA,NA,NA,NA,5.9
