MEET,ROUND,NAME,TEAM,FX,PH,SR,VT,PB,HB,AA,FX_D,PH_D,SR_D,VT_D,PB_D,HB_D
panamer_champs,All-Around Final Results,Caio Souza,BRA,13.2,12.633,13.967,14.1,13.867,13.367,81.134,NA,NA,NA,NA,NA,NA
panamer_champs,All-Around Final Results,Luciano Letelier,CHL,13.433,13,12.7,13.7,12.433,13.967,79.233,NA,NA,NA,NA,NA,NA
panamer_champs,All-Around Final Results,Santiago Mayol,ARG,13.567,13.033,12.833,13.6,13.233,12.3,78.566,NA,NA,NA,NA,NA,NA
panamer_champs,All-Around Final Results,Dilan Jimenez,COL,13,11.867,12.8,13.967,13.1,12.733,77.467,NA,NA,NA,NA,NA,NA
panamer_champs,All-Around Final Results,Cesar Lopez,ECU,12.3,12.1,13.467,13.9,13.1,12.5,77.367,NA,NA,NA,NA,NA,NA
panamer_champs,All-Around Final Results,Diogo Soares,BRA,13.333,11.933,13.133,13.7,11.4,13.233,76.732,NA,NA,NA,NA,NA,NA
panamer_champs,All-Around Final Results,Ricardo Torres,MEX,12.6,12,12.7,13.7,11.9,12.933,75.833,NA,NA,NA,NA,NA,NA
panamer_champs,All-Around Final Results,Manuel Martinez,COL,12.4,13.1,12.333,13.567,11.1,12.9,75.4,NA,NA,NA,NA,NA,NA
panamer_champs,All-Around Final Results,Jose Rosado,PRI,12.2,11.133,12.367,12.467,11.1,12.2,71.467,NA,NA,NA,NA,NA,NA
panamer_champs,All-Around Final Results,Andres Valverde,CRI,12.5,12,10.2,12.867,11.867,11.833,71.267,NA,NA,NA,NA,NA,NA
panamer_champs,All-Around Final Results,Johnny Valencia,ECU,12.667,11.167,11.6,13.7,9.3,11.367,69.801,NA,NA,NA,NA,NA,NA
panamer_champs,All-Around Final Results,Karthik Adapa,CYM,11.6,6.833,10.833,11.4,11.2,11.033,62.899,NA,NA,NA,NA,NA,NA
panamer_champs,All-Around Final Results,Joseph Solis,MEX,NA,8.033,13.233,12.2,12,8.833,54.299,NA,NA,NA,NA,NA,NA
panamer_champs,All-Around Final Results,Julian Jato,ARG,13.033,12.033,12.633,10.667,NA,NA,48.366,NA,NA,NA,NA,NA,NA
panamer_champs,Floor Final Results,Alonso Perez,MEX,13.7,NA,NA,NA,NA,NA,NA,5.6,NA,NA,NA,NA,NA
panamer_champs,Floor Final Results,Andres Martinez,COL,13.133,NA,NA,NA,NA,NA,NA,5.6,NA,NA,NA,NA,NA
panamer_champs,Floor Final Results,Julian Jato,ARG,13.033,NA,NA,NA,NA,NA,NA,5.2,NA,NA,NA,NA,NA
panamer_champs,Floor Final Results,Ricardo Torres,MEX,13,NA,NA,NA,NA,NA,NA,5.3,NA,NA,NA,NA,NA
panamer_champs,Floor Final Results,Pablo Perez,PRI,13,NA,NA,NA,NA,NA,NA,5.7,NA,NA,NA,NA,NA
panamer_champs,Floor Final Results,Caio Souza,BRA,12.467,NA,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA
panamer_champs,Floor Final Results,Adickxon Trejo,VEN,12.333,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA
