MEET,ROUND,NAME,TEAM,FX,PH,SR,VT,PB,HB,AA,FX_D,PH_D,SR_D,VT_D,PB_D,HB_D
romgym_trophy,All-Around Results,Félix Dolci,CAN,13.55,11.35,13.9,14.25,14.05,14,81.1,NA,NA,NA,NA,NA,NA
romgym_trophy,All-Around Results,René Cournoyer,CAN,13.5,12.85,13.85,14.4,13.8,12.25,80.65,NA,NA,NA,NA,NA,NA
romgym_trophy,All-Around Results,Samuel Zakutney,CAN,13.85,12.75,12.7,13.75,13.65,13.55,80.25,NA,NA,NA,NA,NA,NA
romgym_trophy,All-Around Results,Omar Mohamed,EGY,13.65,13.2,13.95,13,13.75,12.45,80,NA,NA,NA,NA,NA,NA
romgym_trophy,All-Around Results,Adam Cogat,DZA,13.6,12.75,12.3,14.05,13.25,12.5,78.45,NA,NA,NA,NA,NA,NA
romgym_trophy,All-Around Results,Gabriel Burtanete,ROU,12.35,12.45,13.3,14.25,12.9,11.9,77.15,NA,NA,NA,NA,NA,NA
romgym_trophy,All-Around Results,Nicholas Tarca,ROU,12.9,13,11.7,13.1,12.75,12.75,76.2,NA,NA,NA,NA,NA,NA
romgym_trophy,All-Around Results,Houssem Eddine Hamadouche,DZA,13.4,12.4,12.5,13.25,12.85,11.75,76.15,NA,NA,NA,NA,NA,NA
romgym_trophy,All-Around Results,Emilian Neagu,ROU,13,11.25,13.4,12.5,12.5,11.3,73.95,NA,NA,NA,NA,NA,NA
romgym_trophy,All-Around Results,Rasul Ahmadzada,AZE,13.05,10.7,11.55,13.1,12.4,11.35,72.15,NA,NA,NA,NA,NA,NA
romgym_trophy,All-Around Results,Ahmed Riadh Aliouat,DZA,12.6,10.8,10.65,13.2,13.3,11.4,71.95,NA,NA,NA,NA,NA,NA
romgym_trophy,All-Around Results,Robert Burtanete,ROU,12.95,12.4,8.1,13.9,11.9,11.55,70.8,NA,NA,NA,NA,NA,NA
romgym_trophy,All-Around Results,Nicolae Bera,ROU,11.6,10.4,12.2,NA,9.8,11,55,NA,NA,NA,NA,NA,NA
romgym_trophy,All-Around Results,Krisztofer Meszaros,HUN,NA,14.4,12.8,NA,14.5,13.25,54.95,NA,NA,NA,NA,NA,NA
romgym_trophy,All-Around Results,William Émard,CAN,13.35,NA,14.1,14.1,NA,12.15,53.7,NA,NA,NA,NA,NA,NA
romgym_trophy,All-Around Results,Ioannis Chronopoulos,CAN,12.35,12.75,NA,13.5,NA,12.55,51.15,NA,NA,NA,NA,NA,NA
romgym_trophy,All-Around Results,Toma Modoianu-Szeder,ROU,NA,12.3,13.3,NA,12.1,11.3,49,NA,NA,NA,NA,NA,NA
romgym_trophy,All-Around Results,Murad Agharzayev,AZE,13.35,10.15,11.5,13.6,NA,NA,48.6,NA,NA,NA,NA,NA,NA
romgym_trophy,All-Around Results,Zachary Clay,CAN,NA,13.7,NA,NA,11.45,10.35,35.5,NA,NA,NA,NA,NA,NA
romgym_trophy,All-Around Results,H’Mida Djaber,DZA,NA,NA,11.1,NA,13.05,NA,24.15,NA,NA,NA,NA,NA,NA
romgym_trophy,All-Around Results,Bilal Bellaoui,DZA,NA,12.2,11.3,NA,NA,NA,23.5,NA,NA,NA,NA,NA,NA
romgym_trophy,All-Around Results,Andrei Muntean,ROU,NA,NA,NA,NA,13.8,NA,13.8,NA,NA,NA,NA,NA,NA
romgym_trophy,Floor Final Results,Félix Dolci,CAN,14.433,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA,NA
