MEET,ROUND,NAME,TEAM,FX,PH,SR,VT,PB,HB,AA,FX_D,PH_D,SR_D,VT_D,PB_D,HB_D
spanish_champs,Senior All-Around Results,Nestor Abad,ESP,13.9,13.6,13.967,14.35,14.55,13.867,84.234,NA,NA,NA,NA,NA,NA
spanish_champs,Senior All-Around Results,Joel Plata,ESP,13.6,12.7,14.133,13.85,14.6,13.833,82.716,NA,NA,NA,NA,NA,NA
spanish_champs,Senior All-Around Results,Nicolau Mir,ESP,14.367,12.832,13.1,14.45,14.1,13.467,82.316,NA,NA,NA,NA,NA,NA
spanish_champs,Senior All-Around Results,Thierno Diallo,ESP,13.733,13.967,13.467,13.4,13.9,13.133,81.6,NA,NA,NA,NA,NA,NA
spanish_champs,Senior All-Around Results,Daniel Carrion,ESP,13.233,13.6,13.867,14.35,12.95,13.3,81.3,NA,NA,NA,NA,NA,NA
spanish_champs,Senior All-Around Results,Sergio Kovacs,ESP,13.3,11.932,12.9,14.25,13.75,13,79.132,NA,NA,NA,NA,NA,NA
spanish_champs,Senior All-Around Results,Unai Baigorri,ESP,13.233,12.767,12.1,14.3,12.45,13.133,77.983,NA,NA,NA,NA,NA,NA
spanish_champs,Senior All-Around Results,Pau Jimenez,ESP,13.567,11.033,13.7,13.9,14.2,10.767,77.167,NA,NA,NA,NA,NA,NA
spanish_champs,Senior All-Around Results,Pablo Ruiz,ESP,12.267,13.1,13.333,13.6,12.85,11.233,76.383,NA,NA,NA,NA,NA,NA
spanish_champs,Senior All-Around Results,Adria Vera,ESP,13.667,11.233,13,13,12,11.633,74.533,NA,NA,NA,NA,NA,NA
spanish_champs,Senior All-Around Results,Jan Carreres,ESP,11.867,11.867,12.533,13,11.8,13.067,74.134,NA,NA,NA,NA,NA,NA
spanish_champs,Senior All-Around Results,Marco Bencomo,ESP,12.733,11.7,13.067,11.4,12.3,12.532,73.732,NA,NA,NA,NA,NA,NA
spanish_champs,Senior All-Around Results,Nicolas Martin,ESP,13.1,10.5,12.9,13.05,11.75,11.567,72.867,NA,NA,NA,NA,NA,NA
spanish_champs,Senior All-Around Results,Jorge Lorenzo,ESP,11.933,9.467,12.167,12.5,12.95,11.167,70.184,NA,NA,NA,NA,NA,NA
spanish_champs,Senior All-Around Results,Nicolas Garcia,ESP,11.6,10.7,12.167,13,11.7,10.9,70.067,NA,NA,NA,NA,NA,NA
spanish_champs,Senior All-Around Results,Enric Beltran,ESP,12.232,9.3,12.533,12.2,11.6,12.133,69.998,NA,NA,NA,NA,NA,NA
spanish_champs,Senior All-Around Results,Daniel Mendieta,ESP,12.933,10.867,11.533,13.5,11.1,9.933,69.866,NA,NA,NA,NA,NA,NA
spanish_champs,Senior All-Around Results,Eric Terres,ESP,11.533,7.2,11.967,13.55,11.1,12.2,67.55,NA,NA,NA,NA,NA,NA
spanish_champs,Senior All-Around Results,Daniel Martin,ESP,11.933,8.433,10.833,13.2,11.65,11.467,67.516,NA,NA,NA,NA,NA,NA
spanish_champs,Senior All-Around Results,Marcos Vazquez,ESP,9,11.067,11.533,12.05,11.45,9.967,65.067,NA,NA,NA,NA,NA,NA
spanish_champs,Senior All-Around Results,Pablo Leal,ESP,9.8,10.3,11.667,11.8,9.8,10.533,63.9,NA,NA,NA,NA,NA,NA
spanish_champs,Senior All-Around Results,Diego Lainez,ESP,10.7,9.333,9.3,12.3,11.35,10.533,63.516,NA,NA,NA,NA,NA,NA
spanish_champs,Senior All-Around Results,Joshua Williams,ESP,13.1,10.833,13.533,NA,12.05,12.167,61.683,NA,NA,NA,NA,NA,NA
spanish_champs,Senior All-Around Results,Ignacio Yockers,ESP,NA,12.367,12.933,11.95,11.05,11.767,60.067,NA,NA,NA,NA,NA,NA
spanish_champs,Senior All-Around Results,David Alonso,ESP,12.067,2.4,11.633,13.55,10.9,8.533,59.083,NA,NA,NA,NA,NA,NA
spanish_champs,Senior All-Around Results,Alvaro Giraldez,ESP,NA,9.2,12.233,NA,13.05,12.067,46.55,NA,NA,NA,NA,NA,NA
spanish_champs,Senior All-Around Results,Anthony Diaz,ESP,NA,9.8,11.733,NA,8.45,10.933,40.916,NA,NA,NA,NA,NA,NA
spanish_champs,Senior All-Around Results,Oscar Coromina,ESP,10.933,NA,NA,11.7,NA,9.9,32.533,NA,NA,NA,NA,NA,NA
spanish_champs,Senior All-Around Results,Dietmar Reinhardt,ESP,NA,12.2,NA,NA,13.15,NA,25.35,NA,NA,NA,NA,NA,NA
spanish_champs,Senior All-Around Results,Rodrigo Martinez,ESP,11.433,NA,NA,13.15,NA,NA,24.583,NA,NA,NA,NA,NA,NA
spanish_champs,Senior All-Around Results,Kevin Vich,ESP,10.4,NA,NA,12.4,NA,NA,22.8,NA,NA,NA,NA,NA,NA
