MEET,ROUND,NAME,TEAM,FX,PH,SR,VT,PB,HB,AA,FX_D,PH_D,SR_D,VT_D,PB_D,HB_D
swiss_champs,Senior All-Around Results,Noe Seifert,CHE,14.166,14.633,13.633,14.166,15.4,13.7,85.698,NA,NA,NA,NA,NA,NA
swiss_champs,Senior All-Around Results,Matteo Giubellini,CHE,13.966,14.733,13.766,13.9,14.633,13.933,84.931,NA,NA,NA,NA,NA,NA
swiss_champs,Senior All-Around Results,Florian Langenegger,CHE,13.466,12.466,13.733,14.266,13.933,13.233,81.097,NA,NA,NA,NA,NA,NA
swiss_champs,Senior All-Around Results,Moreno Kratter,CHE,12.4,13.033,13.166,14.266,14,13.666,80.531,NA,NA,NA,NA,NA,NA
swiss_champs,Senior All-Around Results,Samir Serhani,CHE,13.133,13.6,13.466,13.466,13.533,13.1,80.298,NA,NA,NA,NA,NA,NA
swiss_champs,Senior All-Around Results,Marco Pfyl,CHE,12.9,12.8,13.033,13.433,14,12.933,79.099,NA,NA,NA,NA,NA,NA
swiss_champs,Senior All-Around Results,Andrin Frey,CHE,13.366,13.9,13.033,14.066,12.133,12.466,78.964,NA,NA,NA,NA,NA,NA
swiss_champs,Senior All-Around Results,Luca Giubellini,CHE,14.2,14.233,12.3,14.366,10.766,12.833,78.698,NA,NA,NA,NA,NA,NA
swiss_champs,Senior All-Around Results,Jan Imhof,CHE,11.866,11.866,13.5,14.4,13.733,13,78.365,NA,NA,NA,NA,NA,NA
swiss_champs,Senior All-Around Results,Mirco Riva,CHE,13.233,12.233,12.4,13.666,12.533,13.233,77.298,NA,NA,NA,NA,NA,NA
swiss_champs,Senior All-Around Results,Kevin Buckley,CHE,10.6,13.066,12.9,13.566,13.2,13.166,76.498,NA,NA,NA,NA,NA,NA
swiss_champs,Senior All-Around Results,Ian Raubal,CHE,13.633,11.533,12.933,13.466,11.766,12.133,75.464,NA,NA,NA,NA,NA,NA
swiss_champs,Senior All-Around Results,Noah Bitterli,CHE,12.033,12.966,12.666,12.566,12.7,12.466,75.397,NA,NA,NA,NA,NA,NA
swiss_champs,Senior All-Around Results,Silas Fricker,CHE,12.966,10.833,12.533,13,13.233,12.4,74.965,NA,NA,NA,NA,NA,NA
