MEET,ROUND,NAME,TEAM,FX,PH,SR,VT,PB,HB,AA,FX_D,PH_D,SR_D,VT_D,PB_D,HB_D
swiss_eurotrials,All-Around Results,Matteo Giubellini,CHE,14.05,14.8,13.2,13.75,14.4,13.6,83.8,NA,NA,NA,NA,NA,NA
swiss_eurotrials,All-Around Results,Dominic Tamsel,CHE,12.9,14.6,13.25,13.7,12.85,13.7,81,NA,NA,NA,NA,NA,NA
swiss_eurotrials,All-Around Results,Christian Baumann,CHE,13.9,13.3,13.5,13.6,14.25,12.35,80.9,NA,NA,NA,NA,NA,NA
swiss_eurotrials,All-Around Results,Moreno Kratter,CHE,14.15,12.3,12.7,14.1,13.7,13.55,80.5,NA,NA,NA,NA,NA,NA
swiss_eurotrials,All-Around Results,Florian Langenegger,CHE,13.85,12.3,12.9,14.6,13,12.9,79.55,NA,NA,NA,NA,NA,NA
swiss_eurotrials,All-Around Results,Tim Randegger,CHE,13.1,12.6,12.1,14.4,13,13.75,78.95,NA,NA,NA,NA,NA,NA
swiss_eurotrials,All-Around Results,Luca Giubellini,CHE,12.55,14.35,12.05,14.5,12.25,12.85,78.525,NA,NA,NA,NA,NA,NA
swiss_eurotrials,All-Around Results,Ian Raubal,CHE,13.6,11.45,13.35,13.3,13.9,12.8,78.4,NA,NA,NA,NA,NA,NA
swiss_eurotrials,All-Around Results,Jan Imhof,CHE,13.5,11.45,12.6,14.65,13.5,9.75,75.425,NA,NA,NA,NA,NA,NA
swiss_eurotrials,All-Around Results,Killan Schmidt,CHE,12.6,13.5,10.85,13.4,11.3,12.2,73.85,NA,NA,NA,NA,NA,NA
swiss_eurotrials,All-Around Results,Taha Serhani,CHE,13.5,12.75,NA,14.45,14.2,13.8,68.7,NA,NA,NA,NA,NA,NA
swiss_eurotrials,All-Around Results,Mirco Riva,CHE,11.3,10.95,NA,13.8,11.45,10.9,58.4,NA,NA,NA,NA,NA,NA
swiss_eurotrials,All-Around Results,Noe Seifert,CHE,NA,13.95,13.15,NA,15.05,14.3,56.45,NA,NA,NA,NA,NA,NA
swiss_eurotrials,All-Around Results,Mattia Piffaretti,CHE,13.55,10.6,NA,13.95,13.65,NA,51.75,NA,NA,NA,NA,NA,NA
swiss_eurotrials,All-Around Results,Marco Pfyl,CHE,NA,12.5,NA,NA,14.2,13.2,39.9,NA,NA,NA,NA,NA,NA
swiss_eurotrials,All-Around Results,Andrin Frey,CHE,12.55,12.05,NA,14.2,NA,NA,38.8,NA,NA,NA,NA,NA,NA
swiss_eurotrials,All-Around Results,Mario Brand,CHE,11.65,12.4,NA,14,NA,NA,38.05,NA,NA,NA,NA,NA,NA
swiss_eurotrials,All-Around Results,Luca Murabito,CHE,13.35,NA,NA,14.4,NA,NA,27.725,NA,NA,NA,NA,NA,NA
