MEET,ROUND,NAME,TEAM,FX,PH,SR,VT,PB,HB,AA,FX_D,PH_D,SR_D,VT_D,PB_D,HB_D
swiss_eurotrials2,All-Around Results,Christian Baumann,CHE,13.85,13.6,13.5,13.05,14.35,13.05,81.4,NA,NA,NA,NA,NA,NA
swiss_eurotrials2,All-Around Results,Luca Giubellini,CHE,13.55,14.1,12,14.85,13.4,12.5,80.4,NA,NA,NA,NA,NA,NA
swiss_eurotrials2,All-Around Results,Moreno Kratter,CHE,14,12.6,12.7,14.05,13.5,13.45,80.3,NA,NA,NA,NA,NA,NA
swiss_eurotrials2,All-Around Results,Matteo Giubellini,CHE,13.25,12.8,12.95,14,13.4,13.45,79.85,NA,NA,NA,NA,NA,NA
swiss_eurotrials2,All-Around Results,Tim Randegger,CHE,13.25,13.25,12.55,14.05,13.25,13.4,79.75,NA,NA,NA,NA,NA,NA
swiss_eurotrials2,All-Around Results,Florian Langenegger,CHE,13.8,11.8,13,13.9,13.45,12.65,78.6,NA,NA,NA,NA,NA,NA
swiss_eurotrials2,All-Around Results,Jan Imhof,CHE,13.9,11.75,13,14.35,12.6,12.6,78.2,NA,NA,NA,NA,NA,NA
swiss_eurotrials2,All-Around Results,Ian Raubal,CHE,13.65,12.35,13.35,14,11.85,10.7,75.9,NA,NA,NA,NA,NA,NA
swiss_eurotrials2,All-Around Results,Kilian Schmidt,CHE,12.4,11.7,11.6,13.3,13.5,12.45,74.95,NA,NA,NA,NA,NA,NA
swiss_eurotrials2,All-Around Results,Taha Serhani,CHE,13.3,12.8,NA,14.2,13.85,14,68.15,NA,NA,NA,NA,NA,NA
swiss_eurotrials2,All-Around Results,Noe Seifert,CHE,NA,14.5,13.3,NA,14.7,13.05,55.55,NA,NA,NA,NA,NA,NA
swiss_eurotrials2,All-Around Results,Mattia Piffaretti,CHE,13.85,11.4,NA,14.4,13.8,NA,53.45,NA,NA,NA,NA,NA,NA
swiss_eurotrials2,All-Around Results,Andrin Frey,CHE,14.1,11.55,NA,14.5,NA,NA,40.15,NA,NA,NA,NA,NA,NA
swiss_eurotrials2,All-Around Results,Mario Brand,CHE,12.95,12.15,NA,13.2,NA,NA,38.3,NA,NA,NA,NA,NA,NA
swiss_eurotrials2,All-Around Results,Marco Pfyl,CHE,NA,11.25,NA,NA,14.3,11.4,36.95,NA,NA,NA,NA,NA,NA
swiss_eurotrials2,All-Around Results,Luca Murabito,CHE,14,NA,NA,14.6,NA,NA,28.6,NA,NA,NA,NA,NA,NA
swiss_eurotrials2,All-Around Results,Dominic Tamsel,CHE,NA,13.9,12.4,NA,NA,NA,26.3,NA,NA,NA,NA,NA,NA
