MEET,ROUND,NAME,TEAM,FX,PH,SR,VT,PB,HB,AA,FX_D,PH_D,SR_D,VT_D,PB_D,HB_D
swiss_olympictrials,All-Around Results,Noe Seifert,CHE,13.65,14.5,13.55,14.4,13.65,14.25,84,NA,NA,NA,NA,NA,NA
swiss_olympictrials,All-Around Results,Matteo Giubellini,CHE,13.6,14.85,13.75,14.1,14.15,13.5,83.95,NA,NA,NA,NA,NA,NA
swiss_olympictrials,All-Around Results,Florian Langenegger,CHE,13.65,14.15,13.3,14.3,14.2,13.2,82.8,NA,NA,NA,NA,NA,NA
swiss_olympictrials,All-Around Results,Moreno Kratter,CHE,13.75,12.7,12.9,14.5,14.25,13.45,81.55,NA,NA,NA,NA,NA,NA
swiss_olympictrials,All-Around Results,Samir Serhani,CHE,12.55,13.55,13.55,13.5,13.45,13.3,79.9,NA,NA,NA,NA,NA,NA
swiss_olympictrials,All-Around Results,Luca Giubellini,CHE,12.2,14.3,12.55,14.6,12.85,13.15,79.65,NA,NA,NA,NA,NA,NA
swiss_olympictrials,All-Around Results,Marco Pfyl,CHE,11.9,12.6,12.8,13.75,14.1,12.2,77.35,NA,NA,NA,NA,NA,NA
swiss_olympictrials,All-Around Results,Tim Randegger,CHE,11.9,12.3,12.95,14,12.65,13.5,77.3,NA,NA,NA,NA,NA,NA
swiss_olympictrials,All-Around Results,Ian Raubal,CHE,11.8,12.05,12.3,13.95,13.2,11.4,74.7,NA,NA,NA,NA,NA,NA
swiss_olympictrials,All-Around Results,Taha Serhani,CHE,13.1,11.6,NA,14.5,14.55,14.2,67.95,NA,NA,NA,NA,NA,NA
swiss_olympictrials,All-Around Results,Andrin Frey,CHE,14,13.65,12.85,14.25,NA,NA,54.75,NA,NA,NA,NA,NA,NA
swiss_olympictrials,All-Around Results,Christian Baumann,CHE,NA,13.55,12.6,NA,14.25,13.7,54.1,NA,NA,NA,NA,NA,NA
swiss_olympictrials,All-Around Results,Kilian Schmitt,CHE,NA,13.7,12.35,NA,13.45,12.1,51.6,NA,NA,NA,NA,NA,NA
