MEET,ROUND,NAME,TEAM,FX,PH,SR,VT,PB,HB,AA,FX_D,PH_D,SR_D,VT_D,PB_D,HB_D
swiss_olympictrials2,All-Around Results,Matteo Giubellini,CHE,13.65,14.85,13.35,13.95,14.5,13.55,83.85,NA,NA,NA,NA,NA,NA
swiss_olympictrials2,All-Around Results,Noe Seifert,CHE,14.3,12.95,13.4,13.95,14.65,12.85,82.1,NA,NA,NA,NA,NA,NA
swiss_olympictrials2,All-Around Results,Florian Langenegger,CHE,13.65,13.2,13.35,14.6,13.75,12.1,80.65,NA,NA,NA,NA,NA,NA
swiss_olympictrials2,All-Around Results,Samir Serhani,CHE,13.4,13.15,13.25,13.6,13.65,12.85,79.9,NA,NA,NA,NA,NA,NA
swiss_olympictrials2,All-Around Results,Moreno Kratter,CHE,12.45,12.5,12.8,14.15,13.95,13.45,79.3,NA,NA,NA,NA,NA,NA
swiss_olympictrials2,All-Around Results,Luca Giubellini,CHE,13.4,13,12.9,14.5,11.2,12.5,77.5,NA,NA,NA,NA,NA,NA
swiss_olympictrials2,All-Around Results,Ian Raubal,CHE,13.2,11.75,12.9,13.85,13.2,11.55,76.45,NA,NA,NA,NA,NA,NA
swiss_olympictrials2,All-Around Results,Marco Pfyl,CHE,13.15,9.6,12.95,13.8,13.15,11.3,73.95,NA,NA,NA,NA,NA,NA
swiss_olympictrials2,All-Around Results,Taha Serhani,CHE,13.9,13,NA,14.25,14.4,13.95,69.5,NA,NA,NA,NA,NA,NA
swiss_olympictrials2,All-Around Results,Andrin Frey,CHE,13.4,12.6,13.2,14.25,NA,NA,53.45,NA,NA,NA,NA,NA,NA
swiss_olympictrials2,All-Around Results,Christian Baumann,CHE,NA,12.25,12.75,NA,14.05,13.7,52.75,NA,NA,NA,NA,NA,NA
swiss_olympictrials2,All-Around Results,Kilian Schmitt,CHE,NA,13.7,12.45,NA,12.35,12.6,51.1,NA,NA,NA,NA,NA,NA
