MEET,ROUND,NAME,TEAM,FX,PH,SR,VT,PB,HB,AA,FX_D,PH_D,SR_D,VT_D,PB_D,HB_D
troyes_friendly,All-Around Results,Milad Karimi,KAZ,15,12.85,13.2,14.4,13.95,14.35,83.75,NA,NA,NA,NA,NA,NA
troyes_friendly,All-Around Results,Joe Fraser,GBR,13.1,14.55,13.2,14.2,14.95,13,83,NA,NA,NA,NA,NA,NA
troyes_friendly,All-Around Results,Mario Macchiati,ITA,12.95,14.15,13.55,14.05,14.25,13.4,82.35,NA,NA,NA,NA,NA,NA
troyes_friendly,All-Around Results,Jake Jarman,GBR,14.3,13.4,13.05,14.5,13.2,13.3,81.75,NA,NA,NA,NA,NA,NA
troyes_friendly,All-Around Results,Jan Imhof,CHE,14.3,11.7,13.3,14.15,13.35,13.15,79.95,NA,NA,NA,NA,NA,NA
troyes_friendly,All-Around Results,Andrin Frey,CHE,14.75,11.1,12.95,14.1,13.4,12.9,79.2,NA,NA,NA,NA,NA,NA
troyes_friendly,All-Around Results,Ian Raubal,CHE,13.6,11.7,13.3,13.6,13.55,13.3,79.05,NA,NA,NA,NA,NA,NA
troyes_friendly,All-Around Results,Maxim Kovalenko,DEU,13.95,10.95,12.6,14,13.8,12.85,78.15,NA,NA,NA,NA,NA,NA
troyes_friendly,All-Around Results,Mathys Cordule,FRA,13.85,11.75,12.15,13.85,13.7,12.45,77.75,NA,NA,NA,NA,NA,NA
troyes_friendly,All-Around Results,Alexis Blin,FRA,13.6,10.65,12.9,14,13.35,13.15,77.65,NA,NA,NA,NA,NA,NA
troyes_friendly,All-Around Results,Nils Matache,DEU,12.95,10.7,12.4,14.6,11.6,13,75.25,NA,NA,NA,NA,NA,NA
troyes_friendly,All-Around Results,Alexander Kunz,DEU,12.15,11.85,13,13.45,11.25,13.15,74.85,NA,NA,NA,NA,NA,NA
troyes_friendly,All-Around Results,Kevin Carvalho,FRA,13.25,8.85,12.25,13.15,14.1,13.05,74.65,NA,NA,NA,NA,NA,NA
troyes_friendly,All-Around Results,Swaimy Bellil,FRA,13.1,11.2,11.75,13.2,9.65,13.2,72.1,NA,NA,NA,NA,NA,NA
troyes_friendly,All-Around Results,Daniel Mousichidis,DEU,12.1,12.45,11.55,13.4,9.05,12.5,71.05,NA,NA,NA,NA,NA,NA
troyes_friendly,All-Around Results,Lorenzo Casali,ITA,14.95,13.6,13.75,14.25,NA,12.25,68.8,NA,NA,NA,NA,NA,NA
troyes_friendly,All-Around Results,Lay Giannini,ITA,14.05,13.15,NA,13.8,13.95,13.4,68.35,NA,NA,NA,NA,NA,NA
troyes_friendly,All-Around Results,Carlo Hörr,DEU,13.8,12.55,13.45,NA,13,13.55,66.35,NA,NA,NA,NA,NA,NA
troyes_friendly,All-Around Results,Felix Remuta,DEU,13.85,NA,12.4,13.8,12.3,12.4,64.75,NA,NA,NA,NA,NA,NA
troyes_friendly,All-Around Results,Dimitri Florent,FRA,13.5,11.7,NA,13.05,8.5,11.55,58.3,NA,NA,NA,NA,NA,NA
troyes_friendly,All-Around Results,Nicola Bartolini,ITA,14.85,13.4,NA,14.55,13.6,NA,56.4,NA,NA,NA,NA,NA,NA
troyes_friendly,All-Around Results,Edoardo de Rosa,ITA,13.8,14.7,13.65,NA,12.9,NA,55.05,NA,NA,NA,NA,NA,NA
troyes_friendly,All-Around Results,Samir Serhani,CHE,14.25,12.65,13.45,NA,NA,13.6,53.95,NA,NA,NA,NA,NA,NA
troyes_friendly,All-Around Results,Pierre Cassam Chenaï,FRA,NA,13.6,13.45,NA,13.5,13.05,53.6,NA,NA,NA,NA,NA,NA
troyes_friendly,All-Around Results,Harry Hepworth,GBR,11.9,NA,14.65,14.95,NA,NA,41.5,NA,NA,NA,NA,NA,NA
troyes_friendly,All-Around Results,James Hall,GBR,NA,12.4,NA,NA,13.85,13.75,40,NA,NA,NA,NA,NA,NA
troyes_friendly,All-Around Results,Luke Whitehouse,GBR,11.95,NA,12.3,14.05,NA,NA,38.3,NA,NA,NA,NA,NA,NA
troyes_friendly,All-Around Results,Max Whitlock,GBR,NA,10.15,NA,NA,13.2,13.65,37,NA,NA,NA,NA,NA,NA
troyes_friendly,All-Around Results,Carlo Macchini,ITA,NA,12.5,NA,NA,NA,14.95,27.45,NA,NA,NA,NA,NA,NA
troyes_friendly,All-Around Results,Nariman Kurbanov,KAZ,NA,15.35,NA,NA,NA,NA,15.35,NA,NA,NA,NA,NA,NA
troyes_friendly,All-Around Results,Ilyas Azizov,KAZ,NA,13.75,NA,NA,NA,NA,13.75,NA,NA,NA,NA,NA,NA
