MEET,ROUND,NAME,TEAM,FX,PH,SR,VT,PB,HB,AA,FX_D,PH_D,SR_D,VT_D,PB_D,HB_D
turkish_champs,All-Around Results,Emre Dodanli,TUR,14.167,11.9,13.167,14.167,13.9,13.6,80.901,NA,NA,NA,NA,NA,NA
turkish_champs,All-Around Results,Mehmet Ayberk Kosak,TUR,13.433,12.4,14.667,13.933,13.1,12.5,80.033,NA,NA,NA,NA,NA,NA
turkish_champs,All-Around Results,Ahmet Önder,TUR,13.6,12.5,13.433,12.9,13.667,13.7,79.8,NA,NA,NA,NA,NA,NA
turkish_champs,All-Around Results,Kerem Sener,TUR,12.467,12.4,13.567,14.233,13.667,13.433,79.767,NA,NA,NA,NA,NA,NA
turkish_champs,All-Around Results,Yunus Gündogdu,TUR,13.333,11.5,13.167,12.9,13.367,12.367,76.634,NA,NA,NA,NA,NA,NA
turkish_champs,All-Around Results,Sercan Demir,TUR,13.467,10.667,13.267,13.167,11.167,12.9,74.635,NA,NA,NA,NA,NA,NA
turkish_champs,All-Around Results,Altan Dogan,TUR,12.233,10.667,12.6,12.9,13.2,12.067,73.667,NA,NA,NA,NA,NA,NA
turkish_champs,All-Around Results,Liu Tuakli,TUR,12.433,11.5,12.7,13.767,11.267,11.667,73.334,NA,NA,NA,NA,NA,NA
turkish_champs,All-Around Results,Ahmet Burak Ekici,TUR,13.3,11.5,12.2,13.333,11.767,10.767,72.867,NA,NA,NA,NA,NA,NA
turkish_champs,All-Around Results,Umur Mehmet Filiz,TUR,12.767,10.7,11.2,13.133,12.3,10.767,70.867,NA,NA,NA,NA,NA,NA
turkish_champs,All-Around Results,Hasan Durna,TUR,NA,9.667,12.333,12.733,11.8,10.867,57.4,NA,NA,NA,NA,NA,NA
turkish_champs,All-Around Results,Ibrahim Colak,TUR,NA,NA,14.367,NA,13.5,12.8,40.667,NA,NA,NA,NA,NA,NA
turkish_champs,All-Around Results,Adem Asil,TUR,NA,NA,14.967,14.567,NA,NA,29.534,NA,NA,NA,NA,NA,NA
turkish_champs,All-Around Results,Ferhat Arican,TUR,NA,12.2,NA,NA,14.9,NA,27.1,NA,NA,NA,NA,NA,NA
turkish_champs,All-Around Results,Sevket Yildiz,TUR,NA,9.4,NA,12.367,NA,NA,21.767,NA,NA,NA,NA,NA,NA
turkish_champs,All-Around Results,Hasan Bulut,TUR,NA,12.6,NA,NA,NA,NA,12.6,NA,NA,NA,NA,NA,NA
turkish_champs,All-Around Results,Mert Efe Kilicer,TUR,NA,11.8,NA,NA,NA,NA,11.8,NA,NA,NA,NA,NA,NA
turkish_champs,Floor Final Results,Emre Dodanli,TUR,14.1,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA,NA,NA
turkish_champs,Floor Final Results,Ahmet Önder,TUR,13.733,NA,NA,NA,NA,NA,NA,5.4,NA,NA,NA,NA,NA
