MEET,ROUND,NAME,TEAM,FX,PH,SR,VT,PB,HB,AA,FX_D,PH_D,SR_D,VT_D,PB_D,HB_D
varna_cup,Floor Final Results,Dmitriy Patanin,KAZ,14.033,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA,NA,NA
varna_cup,Floor Final Results,Nicolas Diez,FRA,13.666,NA,NA,NA,NA,NA,NA,5.6,NA,NA,NA,NA,NA
varna_cup,Floor Final Results,Assan Salimov,KAZ,13.533,NA,NA,NA,NA,NA,NA,5.8,NA,NA,NA,NA,NA
varna_cup,Floor Final Results,Lorenzo Bonicelli,ITA,13.4,NA,NA,NA,NA,NA,NA,5.6,NA,NA,NA,NA,NA
varna_cup,Floor Final Results,Botond Molnar,HUN,13.333,NA,NA,NA,NA,NA,NA,5.6,NA,NA,NA,NA,NA
varna_cup,Floor Final Results,Emil Woivalin,FIN,12.9,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA
varna_cup,Floor Final Results,Dimitar Dimitrov,BGR,12.766,NA,NA,NA,NA,NA,NA,5.7,NA,NA,NA,NA,NA
varna_cup,Floor Final Results,Enkhtuvshin Damdindorj,MNG,12.233,NA,NA,NA,NA,NA,NA,5.6,NA,NA,NA,NA,NA
varna_cup,Pommels Final Results,Nariman Kurbanov,KAZ,NA,15.433,NA,NA,NA,NA,NA,NA,6.9,NA,NA,NA,NA
varna_cup,Pommels Final Results,Ravshan Kamiljanov,UZB,NA,14.633,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA
varna_cup,Pommels Final Results,Mateo Zugec,HRV,NA,14.3,NA,NA,NA,NA,NA,NA,5.8,NA,NA,NA,NA
varna_cup,Pommels Final Results,Artur Davtyan,ARM,NA,14.266,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA,NA
varna_cup,Pommels Final Results,Kilan van der Aa,BEL,NA,13.866,NA,NA,NA,NA,NA,NA,5.7,NA,NA,NA,NA
varna_cup,Pommels Final Results,Zeinolla Idrissov,KAZ,NA,13.6,NA,NA,NA,NA,NA,NA,6.2,NA,NA,NA,NA
