MEET,ROUND,NAME,TEAM,FX,PH,SR,VT,PB,HB,AA,FX_D,PH_D,SR_D,VT_D,PB_D,HB_D
world_champs,All-Around Final Results,Hashimoto Daiki,JPN,13.466,14.366,14,15,14.8,14.5,86.132,NA,NA,NA,NA,NA,NA
world_champs,All-Around Final Results,Illia Kovtun,UKR,14,14.3,13.133,14.333,15.166,14.066,84.998,NA,NA,NA,NA,NA,NA
world_champs,All-Around Final Results,Fred Richard,USA,14.633,13.733,13.5,14.566,14.6,13.3,84.332,NA,NA,NA,NA,NA,NA
world_champs,All-Around Final Results,Chiba Kenta,JPN,13.966,14.8,13.733,13.666,14.666,12.633,83.464,NA,NA,NA,NA,NA,NA
world_champs,All-Around Final Results,Milad Karimi,KAZ,14.366,13,12.966,14.233,14.1,14.266,82.931,NA,NA,NA,NA,NA,NA
world_champs,All-Around Final Results,Yumin Abbadini,ITA,13.866,13.8,13.3,13.9,13.933,14.033,82.832,NA,NA,NA,NA,NA,NA
world_champs,All-Around Final Results,Sun Wei,CHN,13.333,12.3,14.266,14.166,14.4,14.233,82.698,NA,NA,NA,NA,NA,NA
world_champs,All-Around Final Results,Noe Seifert,CHE,13.833,13.566,13.366,14.1,14.766,12.8,82.431,NA,NA,NA,NA,NA,NA
world_champs,All-Around Final Results,James Hall,GBR,13.6,13.3,13.566,13.733,14.666,13.466,82.331,NA,NA,NA,NA,NA,NA
world_champs,All-Around Final Results,Diogo Soares,BRA,13,13.6,13.066,14.1,14.266,13.8,81.832,NA,NA,NA,NA,NA,NA
world_champs,All-Around Final Results,Krisztofer Meszaros,HUN,14.266,13.5,13.366,14.3,12.533,13.7,81.665,NA,NA,NA,NA,NA,NA
world_champs,All-Around Final Results,Rene Cournoyer,CAN,13.566,12.6,13.766,13.7,13.933,13.8,81.365,NA,NA,NA,NA,NA,NA
world_champs,All-Around Final Results,Jake Jarman,GBR,14.5,13.433,12.9,15.433,12.766,12.166,81.198,NA,NA,NA,NA,NA,NA
world_champs,All-Around Final Results,Florian Langenegger,CHE,13.433,13.466,12.9,14.233,13.866,13.033,80.931,NA,NA,NA,NA,NA,NA
world_champs,All-Around Final Results,Mario Macchiati,ITA,13.466,13.433,13.1,14.466,13.2,13,80.665,NA,NA,NA,NA,NA,NA
world_champs,All-Around Final Results,Lukas Dauser,DEU,11.966,13.033,12.933,13.733,15.4,13.366,80.431,NA,NA,NA,NA,NA,NA
world_champs,All-Around Final Results,Casimir Schmidt,NLD,14,13.266,12.8,14.3,12.933,13,80.299,NA,NA,NA,NA,NA,NA
world_champs,All-Around Final Results,Ilia Liubimov,ISR,13.2,13.7,12.4,13.966,13.533,13.366,80.165,NA,NA,NA,NA,NA,NA
world_champs,All-Around Final Results,Asher Hong,USA,13.733,12.333,13.833,13.866,14.466,11.833,80.064,NA,NA,NA,NA,NA,NA
world_champs,All-Around Final Results,Thierno Diallo,ESP,13.366,13.3,13,14.133,13.833,12.3,79.932,NA,NA,NA,NA,NA,NA
world_champs,All-Around Final Results,Luka van den Keybus,BEL,13.6,9.666,12.9,14.5,14.2,13.5,78.366,NA,NA,NA,NA,NA,NA
world_champs,All-Around Final Results,Ahmet Önder,TUR,13.8,9.933,13.133,14.533,12.866,14.066,78.331,NA,NA,NA,NA,NA,NA
world_champs,All-Around Final Results,Lee Junho,KOR,13.466,11.933,13.166,14.1,11.733,13.566,77.964,NA,NA,NA,NA,NA,NA
world_champs,All-Around Final Results,Khabibullo Ergashev,UZB,12.8,13.5,12.266,13.866,13.166,11.733,77.331,NA,NA,NA,NA,NA,NA
world_champs,Floor Final Results,Artem Dolgopyat,ISR,14.866,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA,NA
world_champs,Floor Final Results,Minami Kazuki,JPN,14.666,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA,NA
world_champs,Floor Final Results,Milad Karimi,KAZ,14.6,NA,NA,NA,NA,NA,NA,6.3,NA,NA,NA,NA,NA
world_champs,Floor Final Results,Carlos Yulo,PHL,14.5,NA,NA,NA,NA,NA,NA,6.3,NA,NA,NA,NA,NA
world_champs,Floor Final Results,Félix Dolci,CAN,14.4,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA
world_champs,Floor Final Results,Harry Hepworth,GBR,14.333,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA,NA
world_champs,Floor Final Results,Hashimoto Daiki,JPN,14.233,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA
world_champs,Floor Final Results,Fred Richard,USA,13.2,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA
world_champs,Pommels Final Results,Rhys McClenaghan,IRL,NA,15.1,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA
world_champs,Pommels Final Results,Khoi Young,USA,NA,14.966,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA
world_champs,Pommels Final Results,Ahmad Abu Al Soud,JOR,NA,14.633,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA,NA
world_champs,Pommels Final Results,Harutyun Merdinyan,ARM,NA,14.6,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA
world_champs,Pommels Final Results,Max Whitlock,GBR,NA,14.3,NA,NA,NA,NA,NA,NA,6.9,NA,NA,NA,NA
world_champs,Pommels Final Results,Chiba Kenta,JPN,NA,14.2,NA,NA,NA,NA,NA,NA,6.1,NA,NA,NA,NA
world_champs,Pommels Final Results,Nils Dunkel,DEU,NA,13.766,NA,NA,NA,NA,NA,NA,6.2,NA,NA,NA,NA
world_champs,Pommels Final Results,Lee Chih-Kai,TWN,NA,13.5,NA,NA,NA,NA,NA,NA,6.5,NA,NA,NA,NA
world_champs,Rings Final Results,Liu Yang,CHN,NA,NA,15.233,NA,NA,NA,NA,NA,NA,6.4,NA,NA,NA
world_champs,Rings Final Results,Eleftherios Petrounias,GRC,NA,NA,15.066,NA,NA,NA,NA,NA,NA,6.3,NA,NA,NA
world_champs,Rings Final Results,You Hao,CHN,NA,NA,14.833,NA,NA,NA,NA,NA,NA,6.7,NA,NA,NA
world_champs,Rings Final Results,Vahagn Davtyan,ARM,NA,NA,14.7,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
world_champs,Rings Final Results,Nikita Simonov,AZE,NA,NA,14.666,NA,NA,NA,NA,NA,NA,6.2,NA,NA,NA
world_champs,Rings Final Results,Vinzenz Höck,AUT,NA,NA,14.566,NA,NA,NA,NA,NA,NA,6.1,NA,NA,NA
world_champs,Rings Final Results,Artur Avetisyan,ARM,NA,NA,14.433,NA,NA,NA,NA,NA,NA,5.9,NA,NA,NA
world_champs,Rings Final Results,Harry Hepworth,GBR,NA,NA,14.1,NA,NA,NA,NA,NA,NA,5.8,NA,NA,NA
world_champs,Vault Final Results,Jake Jarman,GBR,NA,NA,NA,15.4,NA,NA,NA,NA,NA,NA,6,NA,NA
world_champs,Vault Final Results,Khoi Young,USA,NA,NA,NA,15.033,NA,NA,NA,NA,NA,NA,5.6,NA,NA
world_champs,Vault Final Results,Nazar Chepurnyi,UKR,NA,NA,NA,14.833,NA,NA,NA,NA,NA,NA,5.6,NA,NA
world_champs,Vault Final Results,Igor Radivilov,UKR,NA,NA,NA,14.9,NA,NA,NA,NA,NA,NA,5.6,NA,NA
world_champs,Vault Final Results,Paul Juda,USA,NA,NA,NA,14.6,NA,NA,NA,NA,NA,NA,5.6,NA,NA
world_champs,Vault Final Results,Artur Davtyan,ARM,NA,NA,NA,15.133,NA,NA,NA,NA,NA,NA,5.6,NA,NA
world_champs,Vault Final Results,Harry Hepworth,GBR,NA,NA,NA,14.533,NA,NA,NA,NA,NA,NA,5.6,NA,NA
world_champs,Vault Final Results,Kevin Penev,BGR,NA,NA,NA,14.2,NA,NA,NA,NA,NA,NA,5.2,NA,NA
world_champs,P-Bars Final Results,Lukas Dauser,DEU,NA,NA,NA,NA,15.4,NA,NA,NA,NA,NA,NA,6.6,NA
world_champs,P-Bars Final Results,Shi Cong,CHN,NA,NA,NA,NA,15.066,NA,NA,NA,NA,NA,NA,6.3,NA
world_champs,P-Bars Final Results,Sugimoto Kaito,JPN,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,6.3,NA
world_champs,P-Bars Final Results,Kaya Kazuma,JPN,NA,NA,NA,NA,14.733,NA,NA,NA,NA,NA,NA,6.3,NA
world_champs,P-Bars Final Results,Illia Kovtun,UKR,NA,NA,NA,NA,14.633,NA,NA,NA,NA,NA,NA,6.4,NA
world_champs,P-Bars Final Results,Asher Hong,USA,NA,NA,NA,NA,14.466,NA,NA,NA,NA,NA,NA,6,NA
world_champs,P-Bars Final Results,Matteo Levantesi,ITA,NA,NA,NA,NA,13.866,NA,NA,NA,NA,NA,NA,6.4,NA
world_champs,P-Bars Final Results,Yul Moldauer,USA,NA,NA,NA,NA,13.133,NA,NA,NA,NA,NA,NA,6.3,NA
world_champs,High Bar Final Results,Hashimoto Daiki,JPN,NA,NA,NA,NA,NA,15.233,NA,NA,NA,NA,NA,NA,6.7
world_champs,High Bar Final Results,Tin Srbic,HRV,NA,NA,NA,NA,NA,14.7,NA,NA,NA,NA,NA,NA,6.1
world_champs,High Bar Final Results,Su Weide,CHN,NA,NA,NA,NA,NA,14.5,NA,NA,NA,NA,NA,NA,5.9
world_champs,High Bar Final Results,Milad Karimi,KAZ,NA,NA,NA,NA,NA,14.433,NA,NA,NA,NA,NA,NA,6.3
